"",BBSF2.M.1.S.00000.REN01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:39,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,33273,
1993-05,34063,
1993-06,34837,
1993-07,36073,
1993-08,38493,
1993-09,39073,
1993-10,39874,
1993-11,40839,
1993-12,41879,
1994-01,41479,
1994-02,42256,
1994-03,42522,
1994-04,42763,
1994-05,43279,
1994-06,44727,
1994-07,45772,
1994-08,45346,
1994-09,45223,
1994-10,45392,
1994-11,47489,
1994-12,47204,
1995-01,47337,
1995-02,47610,
1995-03,48537,
1995-04,48934,
1995-05,49487,
1995-06,49031,
1995-07,51204,
1995-08,52537,
1995-09,52957,
1995-10,54290,
1995-11,55404,
1995-12,55670,
1996-01,57200,
1996-02,56606,
1996-03,58022,
1996-04,60381,
1996-05,60548,
1996-06,60574,
1996-07,60467,
1996-08,61575,
1996-09,62666,
1996-10,63619,
1996-11,66322,
1996-12,66611,
1997-01,68544,
1997-02,71087,
1997-03,71185,
1997-04,73467,
1997-05,74003,
1997-06,77936,
1997-07,78807,
1997-08,78066,
1997-09,78641,
1997-10,76256,
1997-11,76791,
1997-12,79080,
1998-01,81238,
1998-02,84434,
1998-03,85374,
1998-04,85298,
1998-05,88652,
1998-06,89852,
1998-07,91452,
1998-08,93244,
1998-09,93186,
1998-10,93497,
1998-11,94714,
1998-12,96361,
1999-01,100847,
1999-02,100159,
1999-03,101235,
1999-04,105827,
1999-05,106137,
1999-06,103806,
1999-07,103512,
1999-08,103048,
1999-09,103198,
1999-10,103501,
1999-11,106425,
1999-12,113200,
2000-01,112163,
2000-02,115725,
2000-03,116526,
2000-04,118337,
2000-05,117348,
2000-06,118438,
2000-07,120275,
2000-08,121462,
2000-09,122194,
2000-10,123339,
2000-11,122521,
2000-12,123069,
2001-01,127182,
2001-02,126719,
2001-03,128368,
2001-04,128152,
2001-05,126810,
2001-06,127850,
2001-07,129727,
2001-08,128511,
2001-09,128238,
2001-10,131732,
2001-11,129895,
2001-12,133688,
2002-01,134684,
2002-02,135923,
2002-03,135090,
2002-04,135772,
2002-05,135640,
2002-06,134860,
2002-07,133852,
2002-08,138515,
2002-09,139692,
2002-10,140026,
2002-11,138894,
2002-12,138036,
2003-01,140488,
2003-02,143074,
2003-03,139319,
2003-04,140584,
2003-05,142684,
2003-06,143699,
2003-07,143637,
2003-08,143718,
2003-09,144447,
2003-10,141883,
2003-11,141077,
2003-12,139042,
2004-01,138598,
2004-02,138881,
2004-03,139483,
2004-04,138662,
2004-05,136997,
2004-06,137349,
2004-07,139085,
2004-08,139593,
2004-09,139855,
2004-10,140667,
2004-11,142838,
2004-12,144806,
2005-01,146796,
2005-02,146011,
2005-03,145531,
2005-04,147527,
2005-05,151019,
2005-06,151874,
2005-07,153279,
2005-08,154064,
2005-09,154027,
2005-10,151350,
2005-11,150161,
2005-12,148403,
2006-01,147131,
2006-02,147845,
2006-03,146680,
2006-04,144633,
2006-05,144845,
2006-06,143910,
2006-07,146097,
2006-08,148232,
2006-09,157118,
2006-10,158153,
2006-11,159912,
2006-12,157464,
2007-01,159338,
2007-02,161424,
2007-03,163568,
2007-04,166835,
2007-05,164555,
2007-06,163177,
2007-07,164757,
2007-08,164621,
2007-09,162421,
2007-10,164969,
2007-11,157847,
2007-12,164294,
2008-01,163062,
2008-02,163082,
2008-03,159891,
2008-04,161475,
2008-05,161105,
2008-06,156969,
2008-07,157965,
2008-08,160974,
2008-09,158462,
2008-10,153610,
2008-11,156172,
2008-12,157043,
2009-01,161569,
2009-02,163258,
2009-03,165581,
2009-04,168568,
2009-05,188439,
2009-06,192480,
2009-07,205193,
2009-08,210108,
2009-09,213305,
2009-10,213470,
2009-11,217155,
2009-12,221299,
2010-01,226852,
2010-02,229952,
2010-03,234981,
2010-04,237044,
2010-05,239696,
2010-06,239106,
2010-07,238614,
2010-08,247284,
2010-09,248369,
2010-10,250540,
2010-11,249702,
2010-12,246721,
2011-01,244144,
2011-02,246849,
2011-03,245508,
2011-04,243479,
2011-05,246036,
2011-06,245134,
2011-07,247126,
2011-08,247395,
2011-09,247069,
2011-10,248709,
2011-11,245246,
2011-12,256381,
2012-01,262468,
2012-02,267516,
2012-03,271412,
2012-04,272799,
2012-05,279717,
2012-06,279471,
2012-07,290097,
2012-08,294186,
2012-09,295333,
2012-10,299100,
2012-11,303294,
2012-12,306873,
2013-01,304880,
2013-02,307368,
2013-03,312012,
2013-04,317086,
2013-05,313936,
2013-06,304894,
2013-07,308736,
2013-08,307084,
2013-09,309390,
2013-10,313562,
2013-11,319986,
2013-12,319062,
2014-01,325089,
2014-02,329448,
2014-03,339507,
2014-04,336988,
2014-05,345289,
2014-06,348279,
2014-07,354194,
2014-08,362598,
2014-09,363441,
2014-10,366746,
2014-11,370476,
