"",BBSF2.M.1.T.00000.GEF01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:02,
2009-09,139565,
2009-10,139603,
2009-11,141531,
2009-12,145675,
2010-01,147055,
2010-02,148548,
2010-03,155025,
2010-04,159347,
2010-05,160763,
2010-06,160843,
2010-07,163546,
2010-08,167233,
2010-09,170627,
2010-10,172533,
2010-11,172205,
2010-12,166684,
2011-01,166109,
2011-02,167733,
2011-03,166489,
2011-04,169848,
2011-05,171395,
2011-06,169091,
2011-07,170361,
2011-08,164209,
2011-09,162284,
2011-10,164665,
2011-11,162687,
2011-12,166964,
2012-01,171917,
2012-02,182719,
2012-03,182805,
2012-04,186748,
2012-05,186240,
2012-06,189808,
2012-07,195246,
2012-08,195334,
2012-09,196755,
2012-10,198418,
2012-11,198974,
2012-12,201683,
2013-01,201666,
2013-02,205772,
2013-03,208266,
2013-04,211341,
2013-05,210044,
2013-06,202448,
2013-07,209974,
2013-08,209466,
2013-09,213414,
2013-10,216152,
2013-11,218426,
2013-12,214912,
2014-01,216501,
2014-02,219350,
2014-03,220848,
2014-04,222412,
2014-05,226992,
2014-06,229489,
2014-07,228949,
2014-08,208674,
2014-09,210815,
2014-10,219672,
2014-11,225195,
