"",BBK01.OEAA43V,BBK01.OEAA43V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:19,
2002-01,0.316,
2002-04,0.715,
2002-07,0.449,
2002-10,1.161,
2003-01,0.505,
2003-04,0.470,
2003-07,0.632,
2003-10,0.819,
2004-01,0.522,
2004-04,0.557,
2004-07,0.401,
2004-10,0.375,
2005-01,0.351,
2005-04,0.307,
2005-07,0.446,
2005-10,0.449,
2006-01,0.293,
2006-04,0.347,
2006-07,0.409,
2006-10,0.378,
2007-01,0.317,
2007-04,0.258,
2007-07,0.242,
2007-10,0.642,
2008-01,0.215,
2008-04,0.184,
2008-07,0.162,
2008-10,0.223,
2009-01,0.183,
2009-04,0.202,
2009-07,0.264,
2009-10,0.256,
2010-01,0.229,
2010-04,0.188,
2010-07,0.207,
2010-10,0.179,
2011-01,0.176,
2011-04,0.159,
2011-07,0.146,
2011-10,0.176,
2012-01,0.106,
2012-04,0.100,
2012-07,0.244,
2012-10,0.187,
2013-01,0.139,
2013-04,0.227,
2013-07,0.300,
2013-10,0.227,
2014-01,0.350,
2014-04,0.217,
2014-07,0.233,
