"",BBK01.OEBM03T,BBK01.OEBM03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:34,
2002-01,0.361,
2002-04,0.342,
2002-07,0.356,
2002-10,0.229,
2003-01,0.227,
2003-04,0.220,
2003-07,0.207,
2003-10,0.164,
2004-01,0.137,
2004-04,0.087,
2004-07,0.094,
2004-10,0.095,
2005-01,0.089,
2005-04,0.098,
2005-07,0.101,
2005-10,0.120,
2006-01,0.131,
2006-04,0.218,
2006-07,0.264,
2006-10,0.262,
2007-01,0.305,
2007-04,0.345,
2007-07,0.351,
2007-10,0.402,
2008-01,0.346,
2008-04,0.433,
2008-07,0.375,
2008-10,0.283,
2009-01,0.099,
2009-04,0.075,
2009-07,0.050,
2009-10,0.016,
2010-01,0.022,
2010-04,0.021,
2010-07,0.031,
2010-10,0.015,
2011-01,0.026,
2011-04,0.061,
2011-07,0.074,
2011-10,0.193,
2012-01,0.250,
2012-04,0.344,
2012-07,0.348,
2012-10,0.359,
2013-01,0.354,
2013-04,0.405,
2013-07,0.405,
2013-10,0.338,
2014-01,0.501,
2014-04,0.436,
2014-07,0.418,
