"",BBK01.BJ2110,BBK01.BJ2110_FLAGS
"",Budgetary position of social security funds (Germany as a whole) - total revenue,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:09,
1991,282156,
1992,311425,
1993,337870,
1994,354910,
1995,373877,
1996,393379,
1997,407673,
1998,415258,
1999,429112,
2000,433763,
2001,445088,Provisional value
2002,457705,Provisional value
2003,467585,Provisional value
2004,469678,Provisional value
2005,467849,Provisional value
2006,486283,Provisional value
2007,475284,Provisional value
2008,485505,Estimated value
2009,492066,Estimated value
2010,516534,Estimated value
2011,526292,Estimated value
2012,536089,Estimated value
2013,537400,Estimated value
"",General: For Germany as a whole (excluding supplementary pension funds for public sector employees),
