"",BBK01.WXI058,BBK01.WXI058_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:39,
2009-09,87,
2009-10,55,
2009-11,150,
2009-12,78,
2010-01,88,
2010-02,85,
2010-03,127,
2010-04,67,
2010-05,80,
2010-06,96,
2010-07,73,
2010-08,79,
2010-09,930,
2010-10,170,
2010-11,84,
2010-12,169,
2011-01,246,
2011-02,143,
2011-03,183,
2011-04,163,
2011-05,157,
2011-06,174,
2011-07,178,
2011-08,222,
2011-09,429,
2011-10,249,
2011-11,484,
2011-12,104,
2012-01,146,
2012-02,123,
2012-03,206,
2012-04,97,
2012-05,124,
2012-06,142,
2012-07,345,
2012-08,114,
2012-09,166,
2012-10,162,
2012-11,203,
2012-12,291,
2013-01,405,
2013-02,224,
2013-03,76,
2013-04,191,
2013-05,166,
2013-06,130,
2013-07,258,
2013-08,164,
2013-09,517,
2013-10,325,
2013-11,484,
2013-12,226,
2014-01,97,
2014-02,130,
2014-03,99,
2014-04,111,
2014-05,105,
2014-06,160,
2014-07,280,
2014-08,88,
2014-09,108,
2014-10,84,
2014-11,279,
