"",BBK01.CEFA0J,BBK01.CEFA0J_FLAGS
"",short-term debt securities  debtor: Total                              creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:07,
1999-01,1.4,
1999-04,1.3,
1999-07,1.2,
1999-10,1.2,
2000-01,1.2,
2000-04,1.3,
2000-07,1.3,
2000-10,1.3,
2001-01,1.4,
2001-04,1.4,
2001-07,1.3,
2001-10,1.3,
2002-01,1.3,
2002-04,1.3,
2002-07,1.3,
2002-10,1.2,
2003-01,1.1,
2003-04,1.0,
2003-07,1.0,
2003-10,1.0,
2004-01,1.0,
2004-04,1.0,
2004-07,1.0,
2004-10,0.9,
2005-01,1.0,
2005-04,1.0,
2005-07,0.9,
2005-10,0.6,
2006-01,3.0,
2006-04,3.8,
2006-07,4.7,
2006-10,6.8,
2007-01,6.5,
2007-04,6.2,
2007-07,5.5,
2007-10,3.9,
2008-01,7.4,
2008-04,4.5,
2008-07,4.9,
2008-10,5.3,
2009-01,3.4,
2009-04,3.5,
2009-07,3.6,
2009-10,3.6,
2010-01,3.1,
2010-04,2.7,
2010-07,3.3,
2010-10,3.4,
2011-01,4.1,
2011-04,4.2,
2011-07,2.9,
2011-10,3.1,
2012-01,3.5,
2012-04,3.4,
2012-07,3.2,
2012-10,3.1,
2013-01,3.1,
2013-04,3.1,
2013-07,2.8,
2013-10,2.7,
2014-01,2.8,
2014-04,2.8,
2014-07,2.4,
