"",BBK01.CEB0QC,BBK01.CEB0QC_FLAGS
"",Financial assets debtor: All sectors                    creditor: General government (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:17,
1991-01,431.6,
1991-04,443.2,
1991-07,439.0,
1991-10,453.5,
1992-01,454.9,
1992-04,455.7,
1992-07,452.0,
1992-10,430.6,
1993-01,433.4,
1993-04,450.2,
1993-07,454.0,
1993-10,475.2,
1994-01,486.5,
1994-04,485.2,
1994-07,477.7,
1994-10,491.8,
1995-01,491.7,
1995-04,503.6,
1995-07,491.1,
1995-10,498.7,
1996-01,493.3,
1996-04,493.7,
1996-07,495.7,
1996-10,508.7,
1997-01,511.4,
1997-04,517.0,
1997-07,511.6,
1997-10,550.7,
1998-01,550.4,
1998-04,558.4,
1998-07,521.8,
1998-10,518.6,
1999-01,509.9,
1999-04,505.3,
1999-07,493.2,
1999-10,542.8,
2000-01,544.9,
2000-04,553.3,
2000-07,602.1,
2000-10,549.9,
2001-01,516.5,
2001-04,514.5,
2001-07,501.2,
2001-10,501.4,
2002-01,501.2,
2002-04,492.8,
2002-07,487.7,
2002-10,471.5,
2003-01,475.7,
2003-04,474.3,
2003-07,463.5,
2003-10,483.1,
2004-01,499.2,
2004-04,496.5,
2004-07,485.8,
2004-10,476.8,
2005-01,485.0,
2005-04,486.3,
2005-07,495.6,
2005-10,489.8,
2006-01,490.0,
2006-04,496.5,
2006-07,498.8,
2006-10,506.5,
2007-01,503.3,
2007-04,536.9,
2007-07,506.8,
2007-10,559.5,
2008-01,566.2,
2008-04,615.0,
2008-07,610.7,
2008-10,625.6,
2009-01,640.7,
2009-04,701.6,
2009-07,687.1,
2009-10,676.2,
2010-01,681.6,
2010-04,727.6,
2010-07,713.6,
2010-10,916.6,
2011-01,913.0,
2011-04,934.8,
2011-07,934.5,
2011-10,919.7,
2012-01,951.3,
2012-04,1016.0,
2012-07,1027.4,
2012-10,1021.1,
2013-01,1007.6,
2013-04,1016.5,
2013-07,994.6,
2013-10,1020.8,
2014-01,1015.0,
