"",BBFN1.M.DE.N.1.L.CH.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:14,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,4.083,
1995-01,3.974,
1995-02,3.905,
1995-03,3.973,
1995-04,3.596,
1995-05,3.649,
1995-06,3.630,
1995-07,3.649,
1995-08,3.747,
1995-09,3.683,
1995-10,3.609,
1995-11,3.725,
1995-12,3.614,
1996-01,3.449,
1996-02,3.456,
1996-03,3.506,
1996-04,3.497,
1996-05,3.582,
1996-06,3.757,
1996-07,3.668,
1996-08,3.533,
1996-09,3.694,
1996-10,3.659,
1996-11,3.728,
1996-12,3.802,
1997-01,3.551,
1997-02,3.536,
1997-03,3.702,
1997-04,3.772,
1997-05,3.687,
1997-06,3.754,
1997-07,3.885,
1997-08,3.757,
1997-09,3.971,
1997-10,4.068,
1997-11,4.049,
1997-12,4.131,
1998-01,3.978,
1998-02,3.991,
1998-03,4.089,
1998-04,4.046,
1998-05,3.990,
1998-06,4.051,
1998-07,3.907,
1998-08,3.969,
1998-09,4.205,
1998-10,4.299,
1998-11,4.240,
1998-12,4.257,
1999-01,4.226,
1999-02,4.112,
1999-03,4.324,
1999-04,4.306,
1999-05,4.157,
1999-06,4.265,
1999-07,4.314,
1999-08,4.293,
1999-09,4.346,
1999-10,4.452,
1999-11,4.419,
1999-12,4.803,
2000-01,4.707,
2000-02,4.727,
2000-03,5.008,
2000-04,4.901,
2000-05,4.398,
2000-06,4.529,
2000-07,4.503,
2000-08,4.618,
2000-09,4.724,
2000-10,4.720,
2000-11,4.838,
2000-12,4.798,
2001-01,4.815,
2001-02,4.829,
2001-03,5.008,
2001-04,4.954,
2001-05,4.858,
2001-06,5.060,
2001-07,4.998,
2001-08,5.035,
2001-09,4.957,
2001-10,5.122,
2001-11,5.187,
2001-12,5.209,
2002-01,4.828,
2002-02,4.915,
2002-03,4.891,
2002-04,5.033,
2002-05,4.596,
2002-06,4.695,
2002-07,4.718,
2002-08,4.426,
2002-09,4.652,
2002-10,4.654,
2002-11,4.856,
2002-12,4.733,
2003-01,4.794,
2003-02,4.751,
2003-03,4.767,
2003-04,4.594,
2003-05,4.506,
2003-06,4.724,
2003-07,4.663,
2003-08,5.019,
2003-09,5.007,
2003-10,5.051,
2003-11,4.802,
2003-12,4.708,
2004-01,4.704,
2004-02,4.811,
2004-03,5.334,
2004-04,4.896,
2004-05,5.057,
2004-06,5.303,
2004-07,5.037,
2004-08,5.091,
2004-09,5.534,
2004-10,5.541,
2004-11,5.426,
2004-12,5.350,
2005-01,5.092,
2005-02,5.218,
2005-03,5.462,
2005-04,5.432,
2005-05,5.397,
2005-06,5.976,
2005-07,5.974,
2005-08,5.966,
2005-09,5.923,
2005-10,6.222,
2005-11,6.332,
2005-12,6.867,
2006-01,6.507,
2006-02,6.634,
2006-03,6.876,
2006-04,7.142,
2006-05,6.969,
2006-06,7.217,
2006-07,6.889,
2006-08,6.461,
2006-09,6.855,
2006-10,6.834,
2006-11,7.463,
2006-12,7.363,
2007-01,7.124,
2007-02,7.362,
2007-03,7.423,
2007-04,7.267,
2007-05,7.391,
2007-06,7.735,
2007-07,7.647,
2007-08,7.420,
2007-09,7.785,
2007-10,7.961,
2007-11,8.140,
2007-12,8.433,
2008-01,7.781,
2008-02,8.415,
2008-03,8.414,
2008-04,8.681,
2008-05,8.481,
2008-06,7.878,
2008-07,8.194,
2008-08,7.529,
2008-09,7.558,
2008-10,7.786,
2008-11,7.212,
2008-12,6.457,
2009-01,6.346,
2009-02,6.190,
2009-03,6.382,
2009-04,6.677,
2009-05,6.595,
2009-06,6.989,
2009-07,7.207,
2009-08,6.865,
2009-09,7.448,
2009-10,7.820,
2009-11,7.771,
2009-12,7.306,
2010-01,6.826,
2010-02,7.271,
2010-03,7.988,
2010-04,7.670,
2010-05,7.817,
2010-06,8.156,
2010-07,8.374,
2010-08,8.080,
2010-09,8.731,
2010-10,8.611,
2010-11,8.691,
2010-12,9.108,
2011-01,8.411,
2011-02,8.447,
2011-03,8.970,
2011-04,9.138,
2011-05,9.892,
2011-06,9.507,
2011-07,10.308,
2011-08,9.942,
2011-09,10.606,
2011-10,10.626,
2011-11,10.481,
2011-12,10.923,
2012-01,10.201,
2012-02,10.631,
2012-03,11.271,
2012-04,10.571,
2012-05,10.032,
2012-06,9.563,
2012-07,10.590,
2012-08,9.539,
2012-09,10.015,
2012-10,10.938,
2012-11,10.479,
2012-12,10.275,
2013-01,9.968,
2013-02,10.185,
2013-03,10.373,
2013-04,9.838,
2013-05,9.550,
2013-06,10.061,
2013-07,9.425,
2013-08,10.046,
2013-09,10.654,
2013-10,11.351,
2013-11,10.728,
2013-12,10.848,
2014-01,10.238,
2014-02,10.375,
2014-03,10.442,
2014-04,10.301,
2014-05,10.505,
2014-06,10.506,
2014-07,10.863,
2014-08,10.471,
2014-09,11.319,
2014-10,11.174,
2014-11,11.246,
2014-12,10.746,
