"",BBK01.OEAD15G,BBK01.OEAD15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:31,
2002-01,1.843,
2002-04,1.957,
2002-07,1.910,
2002-10,1.826,
2003-01,1.790,
2003-04,1.790,
2003-07,1.787,
2003-10,1.599,
2004-01,1.639,
2004-04,1.620,
2004-07,1.479,
2004-10,1.345,
2005-01,1.490,
2005-04,1.481,
2005-07,1.420,
2005-10,1.378,
2006-01,1.453,
2006-04,1.408,
2006-07,1.336,
2006-10,1.217,
2007-01,1.438,
2007-04,1.483,
2007-07,1.457,
2007-10,1.489,
2008-01,1.656,
2008-04,1.714,
2008-07,1.649,
2008-10,1.693,
2009-01,2.017,
2009-04,1.923,
2009-07,1.845,
2009-10,1.738,
2010-01,1.731,
2010-04,1.688,
2010-07,1.563,
2010-10,1.419,
2011-01,1.515,
2011-04,1.588,
2011-07,1.508,
2011-10,1.495,
2012-01,1.661,
2012-04,1.653,
2012-07,1.606,
2012-10,1.496,
2013-01,1.590,
2013-04,1.601,
2013-07,1.515,
2013-10,1.336,
2014-01,1.414,
2014-04,1.349,
2014-07,1.307,
