"",BBK01.OEYB16H,BBK01.OEYB16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:35,
2002-01,14.168,
2002-04,13.935,
2002-07,13.856,
2002-10,13.810,
2003-01,13.358,
2003-04,12.732,
2003-07,12.526,
2003-10,13.143,
2004-01,12.797,
2004-04,12.823,
2004-07,12.938,
2004-10,11.698,
2005-01,11.220,
2005-04,11.003,
2005-07,10.729,
2005-10,10.251,
2006-01,10.471,
2006-04,10.209,
2006-07,10.056,
2006-10,9.642,
2007-01,9.387,
2007-04,9.001,
2007-07,8.724,
2007-10,7.436,
2008-01,7.239,
2008-04,7.042,
2008-07,6.842,
2008-10,6.487,
2009-01,6.334,
2009-04,7.301,
2009-07,6.716,
2009-10,6.360,
2010-01,6.453,
2010-04,6.062,
2010-07,5.905,
2010-10,5.698,
2011-01,5.503,
2011-04,5.718,
2011-07,5.608,
2011-10,5.162,
2012-01,4.962,
2012-04,4.903,
2012-07,4.862,
2012-10,4.817,
2013-01,4.808,
2013-04,4.771,
2013-07,4.514,
2013-10,4.431,
2014-01,4.446,
2014-04,4.461,
2014-07,4.502,
