"",BBK01.OEHO03Q,BBK01.OEHO03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:05,
2002-01,1.181,
2002-04,0.905,
2002-07,0.876,
2002-10,0.847,
2003-01,0.947,
2003-04,0.819,
2003-07,0.736,
2003-10,0.800,
2004-01,0.928,
2004-04,0.791,
2004-07,0.730,
2004-10,0.814,
2005-01,0.876,
2005-04,0.770,
2005-07,0.739,
2005-10,0.783,
2006-01,1.014,
2006-04,0.799,
2006-07,0.840,
2006-10,0.953,
2007-01,1.108,
2007-04,0.874,
2007-07,0.867,
2007-10,0.916,
2008-01,0.976,
2008-04,0.799,
2008-07,0.856,
2008-10,0.978,
2009-01,0.894,
2009-04,0.889,
2009-07,1.029,
2009-10,1.036,
2010-01,0.836,
2010-04,0.686,
2010-07,0.636,
2010-10,0.650,
2011-01,0.661,
2011-04,0.651,
2011-07,0.602,
2011-10,0.688,
2012-01,0.627,
2012-04,0.606,
2012-07,0.621,
2012-10,0.789,
2013-01,0.678,
2013-04,0.618,
2013-07,0.642,
2013-10,0.579,
2014-01,0.593,
2014-04,0.697,
2014-07,0.648,
