"",BBK01.OEHI05L,BBK01.OEHI05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:51,
2002-01,0.906,
2002-04,0.924,
2002-07,0.920,
2002-10,0.911,
2003-01,0.882,
2003-04,0.924,
2003-07,0.886,
2003-10,0.766,
2004-01,0.721,
2004-04,0.722,
2004-07,0.727,
2004-10,0.706,
2005-01,0.661,
2005-04,0.610,
2005-07,0.586,
2005-10,0.576,
2006-01,0.553,
2006-04,0.550,
2006-07,0.525,
2006-10,0.515,
2007-01,0.468,
2007-04,0.447,
2007-07,0.424,
2007-10,0.418,
2008-01,0.432,
2008-04,0.388,
2008-07,0.377,
2008-10,0.380,
2009-01,0.355,
2009-04,0.325,
2009-07,0.364,
2009-10,0.379,
2010-01,0.433,
2010-04,0.435,
2010-07,0.420,
2010-10,0.442,
2011-01,0.446,
2011-04,0.449,
2011-07,0.458,
2011-10,0.462,
2012-01,0.467,
2012-04,0.446,
2012-07,0.469,
2012-10,0.494,
2013-01,0.493,
2013-04,0.535,
2013-07,0.536,
2013-10,0.524,
2014-01,0.527,
2014-04,0.524,
2014-07,0.487,
