"",BBK01.OEYB17G,BBK01.OEYB17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:28,
2002-01,69.344,
2002-04,69.760,
2002-07,70.341,
2002-10,70.783,
2003-01,70.799,
2003-04,71.211,
2003-07,71.702,
2003-10,71.956,
2004-01,71.683,
2004-04,71.537,
2004-07,71.431,
2004-10,70.991,
2005-01,69.953,
2005-04,69.425,
2005-07,77.063,
2005-10,76.126,
2006-01,73.622,
2006-04,72.895,
2006-07,72.338,
2006-10,71.602,
2007-01,70.603,
2007-04,69.738,
2007-07,69.390,
2007-10,68.816,
2008-01,68.189,
2008-04,68.540,
2008-07,68.623,
2008-10,69.150,
2009-01,69.067,
2009-04,69.295,
2009-07,69.677,
2009-10,69.614,
2010-01,70.159,
2010-04,70.629,
2010-07,71.008,
2010-10,70.547,
2011-01,71.695,
2011-04,72.005,
2011-07,72.416,
2011-10,72.521,
2012-01,72.283,
2012-04,72.311,
2012-07,72.268,
2012-10,72.165,
2013-01,71.632,
2013-04,71.319,
2013-07,71.316,
2013-10,71.092,
2014-01,70.848,
2014-04,71.075,
2014-07,70.961,
