"",BBK01.OECB24U,BBK01.OECB24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:21,
2002-01,0.576,
2002-04,0.585,
2002-07,0.594,
2002-10,0.612,
2003-01,0.614,
2003-04,0.644,
2003-07,0.650,
2003-10,0.649,
2004-01,0.658,
2004-04,0.674,
2004-07,0.664,
2004-10,0.614,
2005-01,0.796,
2005-04,0.794,
2005-07,0.749,
2005-10,0.751,
2006-01,0.749,
2006-04,0.712,
2006-07,0.707,
2006-10,0.681,
2007-01,0.654,
2007-04,0.645,
2007-07,0.627,
2007-10,0.622,
2008-01,0.612,
2008-04,0.598,
2008-07,0.585,
2008-10,0.554,
2009-01,0.543,
2009-04,0.516,
2009-07,0.505,
2009-10,0.423,
2010-01,0.405,
2010-04,0.381,
2010-07,0.415,
2010-10,0.403,
2011-01,0.346,
2011-04,0.334,
2011-07,0.324,
2011-10,0.302,
2012-01,0.293,
2012-04,0.281,
2012-07,0.270,
2012-10,0.248,
2013-01,0.241,
2013-04,0.235,
2013-07,0.222,
2013-10,0.216,
2014-01,0.212,
2014-04,0.208,
2014-07,0.201,
