"",BBK01.TVE313,BBK01.TVE313_FLAGS
"",Lending to general government / Total / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:39,
1997-10,14719,
1997-11,28042,
1997-12,-30626,
1998-01,6125,
1998-02,18857,
1998-03,8171,
1998-04,13907,
1998-05,6515,
1998-06,16427,
1998-07,-25686,
1998-08,3712,
1998-09,-9023,
1998-10,12425,
1998-11,7612,
1998-12,-27061,
1999-01,476,
1999-02,16677,
1999-03,27758,
1999-04,-17131,
1999-05,16688,
1999-06,-11398,
1999-07,-32993,
1999-08,801,
1999-09,27693,
1999-10,30663,
1999-11,13262,
1999-12,-37731,
2000-01,7037,
2000-02,2822,
2000-03,-8136,
2000-04,-23253,
2000-05,-14510,
2000-06,-22681,
2000-07,-27595,
2000-08,-19223,
2000-09,-7890,
2000-10,-15015,
2000-11,1513,
2000-12,-10207,
2001-01,-12736,
2001-02,-4136,
2001-03,5125,
2001-04,-668,
2001-05,15125,
2001-06,10323,
2001-07,-5726,
2001-08,-8407,
2001-09,-3659,
2001-10,-12720,
2001-11,24050,
2001-12,-6238,
2002-01,18696,
2002-02,4132,
2002-03,22532,
2002-04,-18366,
2002-05,6849,
2002-06,-146,
2002-07,-3383,
2002-08,-14242,
2002-09,13583,
2002-10,-3601,
2002-11,14852,
2002-12,-6640,
2003-01,23923,
2003-02,15228,
2003-03,13022,
2003-04,14757,
2003-05,22214,
2003-06,-13400,
2003-07,22200,
2003-08,-11917,
2003-09,25270,
2003-10,18530,
2003-11,23294,
2003-12,-22424,
2004-01,12366,
2004-02,12698,
2004-03,30814,
2004-04,4191,
2004-05,24512,
2004-06,14007,
2004-07,1840,
2004-08,-4522,
2004-09,-4019,
2004-10,-650,
2004-11,3403,
2004-12,-42589,
2005-01,41900,
2005-02,23090,
2005-03,-5869,
2005-04,16133,
2005-05,-6550,
2005-06,10874,
2005-07,-38,
2005-08,-4264,
2005-09,-506,
2005-10,14389,
2005-11,38138,
2005-12,-33288,
2006-01,22735,
2006-02,-17044,
2006-03,12971,
2006-04,2751,
2006-05,-28219,
2006-06,7331,
2006-07,-21306,
2006-08,-27606,
2006-09,-6600,
2006-10,-3818,
2006-11,4953,
2006-12,-52184,
2007-01,17564,
2007-02,-6790,
2007-03,-5459,
2007-04,-18248,
2007-05,33200,
2007-06,-8202,
2007-07,-19638,
2007-08,-36711,
2007-09,-11739,
2007-10,6543,
2007-11,-2337,
2007-12,-1757,
2008-01,18488,
2008-02,-7701,
2008-03,14184,
2008-04,24590,
2008-05,5282,
2008-06,12780,
2008-07,6804,
2008-08,-7296,
2008-09,-27422,
2008-10,-6784,
2008-11,38762,
2008-12,19577,
2009-01,68473,
2009-02,32014,
2009-03,43290,
2009-04,35862,
2009-05,12142,
2009-06,69212,
2009-07,7523,
2009-08,8578,
2009-09,20553,
2009-10,35988,
2009-11,-3191,
2009-12,-36602,
2010-01,23847,
2010-02,26512,
2010-03,54396,
2010-04,15779,
2010-05,36541,
2010-06,46597,
2010-07,-9948,
2010-08,-808,
2010-09,15290,
2010-10,190223,
2010-11,17150,
2010-12,-71837,
2011-01,22967,
2011-02,-6249,
2011-03,-23318,
2011-04,1881,
2011-05,-13496,
2011-06,25645,
2011-07,-10714,
2011-08,18180,
2011-09,24299,
2011-10,-229,
2011-11,40314,
2011-12,17089,
2012-01,66368,
2012-02,31613,
2012-03,33838,
2012-04,4393,
2012-05,30674,
2012-06,43574,
2012-07,-16245,
2012-08,-16899,
2012-09,32981,
2012-10,15841,
2012-11,17652,
2012-12,-65283,
2013-01,30602,
2013-02,4601,
2013-03,35369,
2013-04,1280,
2013-05,26457,
2013-06,28510,
2013-07,-37204,
2013-08,-17755,
2013-09,-16111,
2013-10,18231,
2013-11,-26473,
2013-12,-75020,
2014-01,62406,
2014-02,4071,
2014-03,1573,
2014-04,86,
2014-05,10662,
2014-06,-14261,
2014-07,-10230,
2014-08,5292,
2014-09,8603,
2014-10,29044,
2014-11,8067,
2014-12,-42469,
2015-01,75055,
