"",BBK01.OEYB24R,BBK01.OEYB24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:27,
2002-01,1.160,
2002-04,1.154,
2002-07,1.167,
2002-10,1.251,
2003-01,1.428,
2003-04,1.384,
2003-07,1.378,
2003-10,1.208,
2004-01,1.415,
2004-04,1.410,
2004-07,1.406,
2004-10,1.400,
2005-01,1.367,
2005-04,1.373,
2005-07,1.388,
2005-10,1.359,
2006-01,1.306,
2006-04,1.268,
2006-07,1.260,
2006-10,1.251,
2007-01,0.732,
2007-04,0.721,
2007-07,0.714,
2007-10,0.703,
2008-01,0.697,
2008-04,0.683,
2008-07,0.923,
2008-10,0.913,
2009-01,0.894,
2009-04,0.896,
2009-07,0.908,
2009-10,0.942,
2010-01,0.953,
2010-04,1.004,
2010-07,0.997,
2010-10,1.044,
2011-01,1.027,
2011-04,0.997,
2011-07,1.016,
2011-10,1.044,
2012-01,1.037,
2012-04,1.030,
2012-07,1.029,
2012-10,1.045,
2013-01,1.043,
2013-04,1.029,
2013-07,1.042,
2013-10,1.004,
2014-01,0.988,
2014-04,0.979,
2014-07,0.971,
