"",BBEX3.M.SBD.USD.CM.AC.A01,BBEX3.M.SBD.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in the Solomon Islands / SBD 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:37,
1990-01,0.41490,
1990-02,0.40840,
1990-03,0.39920,
1990-04,0.39730,
1990-05,0.39650,
1990-06,0.39580,
1990-07,0.39440,
1990-08,0.39280,
1990-09,0.39150,
1990-10,0.38960,
1990-11,0.38600,
1990-12,0.38310,
1991-01,0.38660,
1991-02,0.38100,
1991-03,0.37260,
1991-04,0.36730,
1991-05,0.36530,
1991-06,0.36640,
1991-07,0.36460,
1991-08,0.36360,
1991-09,0.36380,
1991-10,0.36190,
1991-11,0.35950,
1991-12,0.35780,
1992-01,0.35420,
1992-02,0.35100,
1992-03,0.34800,
1992-04,0.34730,
1992-05,0.34480,
1992-06,0.34350,
1992-07,0.34100,
1992-08,0.34000,
1992-09,0.33880,
1992-10,0.33510,
1992-11,0.32780,
1992-12,0.32250,
1993-01,0.32040,
1993-02,0.31735,
1993-03,0.31560,
1993-04,0.31480,
1993-05,0.31550,
1993-06,0.31420,
1993-07,0.31380,
1993-08,0.31270,
1993-09,0.31150,
1993-10,0.30900,
1993-11,0.30780,
1993-12,0.30790,
1994-01,0.30800,
1994-02,0.30750,
1994-03,0.30640,
1994-04,0.30560,
1994-05,0.30480,
1994-06,0.30380,
1994-07,0.30300,
1994-08,0.30230,
1994-09,0.30160,
1994-10,0.30030,
1994-11,0.30050,
1994-12,0.30040,
1995-01,0.29820,
1995-02,0.29810,
1995-03,0.29710,
1995-04,0.29700,
1995-05,0.29560,
1995-06,0.29410,
1995-07,0.29300,
1995-08,0.29065,
1995-09,0.28990,
1995-10,0.28880,
1995-11,0.28770,
1995-12,0.28700,
1996-01,0.28580,
1996-02,0.28550,
1996-03,0.28460,
1996-04,0.28400,
1996-05,0.28270,
1996-06,0.28170,
1996-07,0.28070,
1996-08,0.27970,
1996-09,0.27880,
1996-10,0.27790,
1996-11,0.27700,
1996-12,0.27610,
1997-01,0.27480,
1997-02,0.27540,
1997-03,0.27410,
1997-04,0.27290,
1997-05,0.27250,
1997-06,0.27170,
1997-07,0.27030,
1997-08,0.26930,
1997-09,0.26840,
1997-10,0.26700,
1997-11,0.26560,
1997-12,0.21060,comment
1998-01,0.20960,
1998-02,0.20920,
1998-03,0.20900,
1998-04,0.20930,
1998-05,0.20870,
1998-06,0.20840,
1998-07,0.20800,
1998-08,0.20790,
1998-09,0.20270,
1998-10,0.20630,
1998-11,0.20790,
1998-12,0.20580,
1999-01,0.20440,
1999-02,0.20870,
1999-03,0.20860,
1999-04,0.20480,
1999-05,0.20720,
1999-06,0.20650,
1999-07,0.20300,
1999-08,0.20240,
1999-09,0.19750,
1999-10,0.19770,
1999-11,0.19750,
1999-12,0.19700,
2000-01,0.19700,
2000-02,0.19700,
2000-03,0.19670,
2000-04,0.19660,
2000-05,0.19640,
2000-06,0.19630,
2000-07,0.19630,
2000-08,0.19630,
2000-09,0.19630,
2000-10,0.19630,
2000-11,0.19610,
2000-12,0.19610,
2001-01,0.19580,
2001-02,0.19550,
2001-03,0.19300,
2001-04,0.19150,
2001-05,0.19040,
2001-06,0.18920,
2001-07,0.18900,
2001-08,0.18880,
2001-09,0.18650,
2001-10,0.18430,
2001-11,0.18260,
2001-12,0.17970,
2002-01,0.17100,
2002-02,0.16550,
