"",BBK01.OEBB22N,BBK01.OEBB22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:45,
2002-01,0.865,
2002-04,1.041,
2002-07,0.560,
2002-10,0.647,
2003-01,0.661,
2003-04,0.743,
2003-07,1.344,
2003-10,1.099,
2004-01,2.147,
2004-04,0.893,
2004-07,1.033,
2004-10,0.730,
2005-01,0.881,
2005-04,1.036,
2005-07,0.784,
2005-10,0.939,
2006-01,1.223,
2006-04,2.301,
2006-07,2.277,
2006-10,2.137,
2007-01,2.577,
2007-04,2.144,
2007-07,1.982,
2007-10,2.211,
2008-01,2.596,
2008-04,2.797,
2008-07,3.011,
2008-10,2.304,
2009-01,1.540,
2009-04,1.270,
2009-07,1.017,
2009-10,1.158,
2010-01,1.225,
2010-04,1.507,
2010-07,1.460,
2010-10,1.427,
2011-01,1.413,
2011-04,1.344,
2011-07,0.821,
2011-10,0.677,
2012-01,0.566,
2012-04,0.577,
2012-07,0.689,
2012-10,0.797,
2013-01,2.529,
2013-04,3.229,
2013-07,3.314,
2013-10,2.416,
2014-01,3.881,
2014-04,3.871,
2014-07,3.672,
