"",BBK01.OEAE29H,BBK01.OEAE29H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:14,
2002-01,27.816,
2002-04,27.641,
2002-07,27.681,
2002-10,27.635,
2003-01,27.798,
2003-04,27.669,
2003-07,27.393,
2003-10,28.282,
2004-01,27.905,
2004-04,28.910,
2004-07,29.929,
2004-10,29.207,
2005-01,29.628,
2005-04,29.826,
2005-07,29.571,
2005-10,29.686,
2006-01,29.939,
2006-04,29.764,
2006-07,29.515,
2006-10,28.919,
2007-01,29.712,
2007-04,29.204,
2007-07,28.604,
2007-10,28.710,
2008-01,28.803,
2008-04,28.477,
2008-07,28.315,
2008-10,26.889,
2009-01,29.581,
2009-04,24.487,
2009-07,24.748,
2009-10,24.382,
2010-01,23.750,
2010-04,23.788,
2010-07,23.425,
2010-10,23.604,
2011-01,23.073,
2011-04,23.723,
2011-07,23.848,
2011-10,25.358,
2012-01,25.426,
2012-04,25.609,
2012-07,25.719,
2012-10,25.808,
2013-01,26.045,
2013-04,26.169,
2013-07,25.811,
2013-10,26.068,
2014-01,26.254,
2014-04,26.038,
2014-07,26.521,
