"",BBDE1.M.DE.Y.AEB1.A2R130050.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2R130050.F.V.I10.A_FLAGS
"","Orders received from the domestic market / At current prices, flows / Germany / 13+14 Manufacture of textiles and wearing apparel / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:41,
1991-01,256.3,
1991-02,254.1,
1991-03,270.3,
1991-04,262.8,
1991-05,254.0,
1991-06,275.2,
1991-07,241.4,
1991-08,242.2,
1991-09,247.1,
1991-10,251.1,
1991-11,262.1,
1991-12,253.2,
1992-01,246.4,
1992-02,249.9,
1992-03,236.6,
1992-04,233.4,
1992-05,232.9,
1992-06,233.5,
1992-07,220.5,
1992-08,228.9,
1992-09,235.0,
1992-10,230.2,
1992-11,229.2,
1992-12,225.7,
1993-01,230.8,
1993-02,219.1,
1993-03,226.2,
1993-04,219.9,
1993-05,222.7,
1993-06,219.3,
1993-07,222.0,
1993-08,229.5,
1993-09,225.2,
1993-10,218.3,
1993-11,217.4,
1993-12,213.8,
1994-01,217.7,
1994-02,220.5,
1994-03,210.3,
1994-04,215.1,
1994-05,204.5,
1994-06,196.0,
1994-07,203.4,
1994-08,208.0,
1994-09,202.8,
1994-10,204.5,
1994-11,200.8,
1994-12,200.3,
1995-01,204.9,
1995-02,202.4,
1995-03,198.0,
1995-04,201.0,
1995-05,203.2,
1995-06,196.5,
1995-07,196.9,
1995-08,193.4,
1995-09,195.4,
1995-10,193.5,
1995-11,186.0,
1995-12,182.5,
1996-01,192.1,
1996-02,182.5,
1996-03,192.2,
1996-04,196.1,
1996-05,190.0,
1996-06,189.4,
1996-07,179.3,
1996-08,187.4,
1996-09,188.2,
1996-10,190.1,
1996-11,194.0,
1996-12,186.7,
1997-01,184.6,
1997-02,188.5,
1997-03,192.8,
1997-04,184.3,
1997-05,176.0,
1997-06,184.8,
1997-07,184.8,
1997-08,186.0,
1997-09,179.9,
1997-10,180.8,
1997-11,177.5,
1997-12,178.7,
1998-01,177.3,
1998-02,190.8,
1998-03,182.2,
1998-04,187.2,
1998-05,181.5,
1998-06,185.5,
1998-07,189.3,
1998-08,181.1,
1998-09,180.5,
1998-10,174.7,
1998-11,175.7,
1998-12,174.6,
1999-01,175.9,
1999-02,172.8,
1999-03,172.6,
1999-04,173.1,
1999-05,166.4,
1999-06,167.9,
1999-07,171.8,
1999-08,168.5,
1999-09,168.8,
1999-10,172.3,
1999-11,171.2,
1999-12,171.0,
2000-01,160.1,
2000-02,170.7,
2000-03,166.0,
2000-04,163.9,
2000-05,176.4,
2000-06,170.0,
2000-07,164.9,
2000-08,172.1,
2000-09,173.3,
2000-10,165.8,
2000-11,165.4,
2000-12,168.4,
2001-01,171.6,
2001-02,168.9,
2001-03,166.5,
2001-04,155.8,
2001-05,163.8,
2001-06,169.4,
2001-07,160.7,
2001-08,163.2,
2001-09,156.7,
2001-10,151.7,
2001-11,155.9,
2001-12,159.0,
2002-01,150.1,
2002-02,149.2,
2002-03,151.3,
2002-04,146.4,
2002-05,142.9,
2002-06,143.4,
2002-07,137.9,
2002-08,140.3,
2002-09,141.6,
2002-10,148.6,
2002-11,138.8,
2002-12,140.9,
2003-01,146.9,
2003-02,142.1,
2003-03,139.4,
2003-04,140.9,
2003-05,138.5,
2003-06,138.0,
2003-07,138.5,
2003-08,135.8,
2003-09,134.5,
2003-10,136.7,
2003-11,133.9,
2003-12,131.4,
2004-01,132.5,
2004-02,132.8,
2004-03,134.2,
2004-04,132.7,
2004-05,130.2,
2004-06,131.0,
2004-07,133.1,
2004-08,128.7,
2004-09,127.0,
2004-10,123.7,
2004-11,123.1,
2004-12,123.9,
2005-01,132.2,
2005-02,127.8,
2005-03,129.1,
2005-04,130.1,
2005-05,129.2,
2005-06,126.1,
2005-07,129.5,
2005-08,128.5,
2005-09,118.8,
2005-10,127.1,
2005-11,125.9,
2005-12,126.9,
2006-01,122.4,
2006-02,129.1,
2006-03,126.2,
2006-04,127.6,
2006-05,134.1,
2006-06,123.5,
2006-07,129.1,
2006-08,129.6,
2006-09,124.0,
2006-10,127.2,
2006-11,127.0,
2006-12,127.9,
2007-01,127.1,
2007-02,127.2,
2007-03,125.8,
2007-04,127.8,
2007-05,129.4,
2007-06,129.2,
2007-07,128.2,
2007-08,126.1,
2007-09,124.5,
2007-10,127.8,
2007-11,127.0,
2007-12,124.2,
2008-01,123.6,
2008-02,123.9,
2008-03,116.3,
2008-04,117.4,
2008-05,114.8,
2008-06,118.9,
2008-07,116.9,
2008-08,118.2,
2008-09,111.6,
2008-10,111.2,
2008-11,110.7,
2008-12,112.6,
2009-01,95.6,
2009-02,91.5,
2009-03,89.7,
2009-04,90.2,
2009-05,92.9,
2009-06,96.3,
2009-07,93.6,
2009-08,94.7,
2009-09,95.6,
2009-10,93.6,
2009-11,91.1,
2009-12,96.7,
2010-01,95.6,
2010-02,94.4,
2010-03,99.5,
2010-04,96.6,
2010-05,97.0,
2010-06,98.8,
2010-07,100.2,
2010-08,98.5,
2010-09,100.6,
2010-10,103.9,
2010-11,106.9,
2010-12,105.3,
2011-01,105.0,
2011-02,105.4,
2011-03,102.8,
2011-04,106.3,
2011-05,107.8,
2011-06,100.4,
2011-07,108.2,
2011-08,103.4,
2011-09,99.8,
2011-10,104.3,
2011-11,99.4,
2011-12,95.2,
2012-01,96.9,
2012-02,97.7,
2012-03,96.8,
2012-04,96.4,
2012-05,103.7,
2012-06,98.5,
2012-07,99.1,
2012-08,98.8,
2012-09,95.8,
2012-10,102.4,
2012-11,92.7,
2012-12,94.0,
2013-01,96.6,
2013-02,95.2,
2013-03,94.6,
2013-04,94.8,
2013-05,96.1,
2013-06,97.2,
2013-07,101.4,
2013-08,97.7,
2013-09,96.7,
2013-10,97.5,
2013-11,99.4,
2013-12,96.7,
2014-01,103.3,
2014-02,101.2,
2014-03,99.5,
2014-04,103.0,
2014-05,101.3,
2014-06,101.6,
2014-07,99.4,
2014-08,101.7,
2014-09,95.7,
2014-10,100.6,
2014-11,97.4,
2014-12,101.2,Provisional value
