"",BBK01.OEAD04G,BBK01.OEAD04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:27,
2002-01,1.665,
2002-04,1.716,
2002-07,1.622,
2002-10,1.551,
2003-01,1.552,
2003-04,1.470,
2003-07,1.343,
2003-10,1.244,
2004-01,0.969,
2004-04,0.895,
2004-07,0.863,
2004-10,0.967,
2005-01,0.987,
2005-04,0.886,
2005-07,0.801,
2005-10,0.710,
2006-01,0.769,
2006-04,0.824,
2006-07,0.823,
2006-10,0.754,
2007-01,0.865,
2007-04,0.824,
2007-07,1.369,
2007-10,1.182,
2008-01,1.223,
2008-04,1.274,
2008-07,1.168,
2008-10,0.854,
2009-01,1.113,
2009-04,1.098,
2009-07,0.918,
2009-10,0.854,
2010-01,0.964,
2010-04,0.928,
2010-07,0.841,
2010-10,0.880,
2011-01,0.961,
2011-04,0.911,
2011-07,0.857,
2011-10,0.913,
2012-01,0.938,
2012-04,1.011,
2012-07,0.848,
2012-10,0.797,
2013-01,0.803,
2013-04,0.839,
2013-07,0.775,
2013-10,0.765,
2014-01,0.647,
2014-04,0.651,
2014-07,0.673,
