"",BBFN1.M.DE.N.1.A.TN.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TN.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Tunisia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:03,
1994-07,0.080,
1994-08,0.096,
1994-09,0.096,
1994-10,0.095,
1994-11,0.102,
1994-12,0.098,
1995-01,0.089,
1995-02,0.089,
1995-03,0.097,
1995-04,0.098,
1995-05,0.096,
1995-06,0.103,
1995-07,0.102,
1995-08,0.096,
1995-09,0.106,
1995-10,0.097,
1995-11,0.101,
1995-12,0.100,
1996-01,0.097,
1996-02,0.100,
1996-03,0.104,
1996-04,0.097,
1996-05,0.093,
1996-06,0.096,
1996-07,0.095,
1996-08,0.095,
1996-09,0.094,
1996-10,0.101,
1996-11,0.098,
1996-12,0.100,
1997-01,0.097,
1997-02,0.099,
1997-03,0.090,
1997-04,0.106,
1997-05,0.104,
1997-06,0.109,
1997-07,0.121,
1997-08,0.122,
1997-09,0.135,
1997-10,0.140,
1997-11,0.139,
1997-12,0.133,
1998-01,0.136,
1998-02,0.137,
1998-03,0.133,
1998-04,0.139,
1998-05,0.140,
1998-06,0.151,
1998-07,0.150,
1998-08,0.142,
1998-09,0.139,
1998-10,0.144,
1998-11,0.136,
1998-12,0.137,
1999-01,0.130,
1999-02,0.135,
1999-03,0.140,
1999-04,0.127,
1999-05,0.131,
1999-06,0.133,
1999-07,0.135,
1999-08,0.139,
1999-09,0.146,
1999-10,0.149,
1999-11,0.144,
1999-12,0.150,
2000-01,0.145,
2000-02,0.137,
2000-03,0.138,
2000-04,0.150,
2000-05,0.141,
2000-06,0.151,
2000-07,0.150,
2000-08,0.153,
2000-09,0.170,
2000-10,0.182,
2000-11,0.179,
2000-12,0.187,
2001-01,0.184,
2001-02,0.201,
2001-03,0.195,
2001-04,0.192,
2001-05,0.195,
2001-06,0.200,
2001-07,0.197,
2001-08,0.202,
2001-09,0.216,
2001-10,0.213,
2001-11,0.204,
2001-12,0.182,
2002-01,0.189,
2002-02,0.178,
2002-03,0.166,
2002-04,0.160,
2002-05,0.156,
2002-06,0.173,
2002-07,0.164,
2002-08,0.167,
2002-09,0.190,
2002-10,0.195,
2002-11,0.198,
2002-12,0.188,
2003-01,0.199,
2003-02,0.189,
2003-03,0.175,
2003-04,0.164,
2003-05,0.155,
2003-06,0.176,
2003-07,0.176,
2003-08,0.185,
2003-09,0.185,
2003-10,0.198,
2003-11,0.186,
2003-12,0.188,
2004-01,0.189,
2004-02,0.177,
2004-03,0.179,
2004-04,0.168,
2004-05,0.164,
2004-06,0.168,
2004-07,0.179,
2004-08,0.185,
2004-09,0.199,
2004-10,0.192,
2004-11,0.201,
2004-12,0.191,
2005-01,0.180,
2005-02,0.198,
2005-03,0.198,
2005-04,0.195,
2005-05,0.197,
2005-06,0.190,
2005-07,0.189,
2005-08,0.190,
2005-09,0.185,
2005-10,0.188,
2005-11,0.199,
2005-12,0.194,
2006-01,0.193,
2006-02,0.218,
2006-03,0.226,
2006-04,0.245,
2006-05,0.248,
2006-06,0.243,
2006-07,0.252,
2006-08,0.257,
2006-09,0.251,
2006-10,0.245,
2006-11,0.255,
2006-12,0.251,
2007-01,0.261,
2007-02,0.279,
2007-03,0.279,
2007-04,0.294,
2007-05,0.272,
2007-06,0.257,
2007-07,0.270,
2007-08,0.272,
2007-09,0.267,
2007-10,0.277,
2007-11,0.284,
2007-12,0.279,
2008-01,0.290,
2008-02,0.304,
2008-03,0.290,
2008-04,0.297,
2008-05,0.298,
2008-06,0.280,
2008-07,0.296,
2008-08,0.285,
2008-09,0.289,
2008-10,0.303,
2008-11,0.299,
2008-12,0.259,
2009-01,0.220,
2009-02,0.219,
2009-03,0.245,
2009-04,0.237,
2009-05,0.236,
2009-06,0.254,
2009-07,0.259,
2009-08,0.269,
2009-09,0.262,
2009-10,0.262,
2009-11,0.286,
2009-12,0.283,
2010-01,0.283,
2010-02,0.296,
2010-03,0.299,
2010-04,0.320,
2010-05,0.335,
2010-06,0.353,
2010-07,0.370,
2010-08,0.363,
2010-09,0.362,
2010-10,0.357,
2010-11,0.351,
2010-12,0.366,
2011-01,0.384,
2011-02,0.368,
2011-03,0.368,
2011-04,0.335,
2011-05,0.346,
2011-06,0.344,
2011-07,0.371,
2011-08,0.389,
2011-09,0.357,
2011-10,0.356,
2011-11,0.356,
2011-12,0.357,
2012-01,0.372,
2012-02,0.375,
2012-03,0.385,
2012-04,0.408,
2012-05,0.401,
2012-06,0.408,
2012-07,0.430,
2012-08,0.391,
2012-09,0.431,
2012-10,0.391,
2012-11,0.393,
2012-12,0.369,
2013-01,0.367,
2013-02,0.376,
2013-03,0.408,
2013-04,0.410,
2013-05,0.403,
2013-06,0.432,
2013-07,0.410,
2013-08,0.410,
2013-09,0.396,
2013-10,0.316,
2013-11,0.296,
2013-12,0.299,
2014-01,0.293,
2014-02,0.300,
2014-03,0.331,
2014-04,0.326,
2014-05,0.328,
2014-06,0.350,
2014-07,0.347,
2014-08,0.337,
2014-09,0.317,
2014-10,0.310,
2014-11,0.301,
2014-12,0.284,
