"",BBK01.OELM01J,BBK01.OELM01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:27,
2002-01,0.003,
2002-04,0.002,
2002-07,0.002,
2002-10,0.003,
2003-01,0.004,
2003-04,0.003,
2003-07,-,Nothing exists
2003-10,0.001,
2004-01,0.001,
2004-04,0.001,
2004-07,0.002,
2004-10,0.001,
2005-01,0.001,
2005-04,-,Nothing exists
2005-07,0.002,
2005-10,0.001,
2006-01,0.001,
2006-04,-,Nothing exists
2006-07,0.001,
2006-10,0.001,
2007-01,-,Nothing exists
2007-04,0.001,
2007-07,0.001,
2007-10,0.011,
2008-01,0.012,
2008-04,0.011,
2008-07,0.014,
2008-10,0.018,
2009-01,0.007,
2009-04,0.005,
2009-07,0.013,
2009-10,0.008,
2010-01,0.012,
2010-04,0.006,
2010-07,0.014,
2010-10,0.050,
2011-01,0.016,
2011-04,0.027,
2011-07,0.006,
2011-10,0.035,
2012-01,0.009,
2012-04,0.010,
2012-07,0.027,
2012-10,0.030,
2013-01,0.015,
2013-04,0.017,
2013-07,0.021,
2013-10,0.003,
2014-01,0.003,
2014-04,0.025,
2014-07,0.014,
