"",BBK01.OEAF02R,BBK01.OEAF02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:35,
2002-01,6.420,
2002-04,6.475,
2002-07,6.561,
2002-10,6.691,
2003-01,6.630,
2003-04,6.697,
2003-07,6.729,
2003-10,6.723,
2004-01,6.659,
2004-04,6.668,
2004-07,6.673,
2004-10,6.642,
2005-01,7.317,
2005-04,7.355,
2005-07,7.371,
2005-10,7.329,
2006-01,7.277,
2006-04,7.393,
2006-07,7.476,
2006-10,7.425,
2007-01,7.441,
2007-04,7.518,
2007-07,7.519,
2007-10,7.534,
2008-01,7.410,
2008-04,7.340,
2008-07,7.406,
2008-10,7.384,
2009-01,7.289,
2009-04,7.641,
2009-07,7.645,
2009-10,7.680,
2010-01,7.663,
2010-04,7.682,
2010-07,7.727,
2010-10,7.752,
2011-01,7.745,
2011-04,7.747,
2011-07,7.791,
2011-10,7.845,
2012-01,7.859,
2012-04,7.995,
2012-07,8.076,
2012-10,8.105,
2013-01,8.101,
2013-04,8.162,
2013-07,8.252,
2013-10,8.291,
2014-01,8.314,
2014-04,8.382,
2014-07,8.463,
