"",BBSF2.M.1.T.00000.DGE01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGE01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:13,
2009-09,80,
2009-10,345,
2009-11,19,
2009-12,42,
2010-01,76,
2010-02,32,
2010-03,37,
2010-04,59,
2010-05,49,
2010-06,52,
2010-07,23,
2010-08,3482,
2010-09,84,
2010-10,40,
2010-11,23,
2010-12,125,
2011-01,245,
2011-02,24,
2011-03,29,
2011-04,22,
2011-05,97,
2011-06,254,
2011-07,14,
2011-08,46,
2011-09,77,
2011-10,9,
2011-11,10,
2011-12,369,
2012-01,34,
2012-02,61,
2012-03,178,
2012-04,45,
2012-05,82,
2012-06,56,
2012-07,8708,
2012-08,61,
2012-09,78,
2012-10,938,
2012-11,85,
2012-12,282,
2013-01,597,
2013-02,107,
2013-03,276,
2013-04,129,
2013-05,140,
2013-06,336,
2013-07,163,
2013-08,141,
2013-09,210,
2013-10,259,
2013-11,342,
2013-12,703,
2014-01,141,
2014-02,123,
2014-03,507,
2014-04,102,
2014-05,98,
2014-06,268,
2014-07,198,
2014-08,234,
2014-09,130,
2014-10,267,
2014-11,456,
