"",BBK01.OEAL04L,BBK01.OEAL04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:15,
2002-01,9.145,
2002-04,8.619,
2002-07,8.538,
2002-10,8.601,
2003-01,8.161,
2003-04,7.706,
2003-07,7.634,
2003-10,7.280,
2004-01,7.084,
2004-04,6.926,
2004-07,6.616,
2004-10,7.120,
2005-01,6.481,
2005-04,6.289,
2005-07,6.721,
2005-10,7.029,
2006-01,8.252,
2006-04,8.792,
2006-07,13.125,
2006-10,14.707,
2007-01,17.518,
2007-04,19.478,
2007-07,22.559,
2007-10,26.227,
2008-01,29.324,
2008-04,33.279,
2008-07,35.986,
2008-10,36.166,
2009-01,31.148,
2009-04,30.867,
2009-07,26.346,
2009-10,22.465,
2010-01,22.837,
2010-04,22.016,
2010-07,21.886,
2010-10,22.766,
2011-01,21.720,
2011-04,22.529,
2011-07,23.841,
2011-10,24.850,
2012-01,26.742,
2012-04,28.890,
2012-07,29.781,
2012-10,28.534,
2013-01,28.280,
2013-04,27.336,
2013-07,24.844,
2013-10,23.896,
2014-01,24.298,
2014-04,25.251,
2014-07,25.246,
