"",BBK01.OELB13G,BBK01.OELB13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:16,
2002-01,18.519,
2002-04,18.366,
2002-07,18.151,
2002-10,18.061,
2003-01,17.654,
2003-04,17.491,
2003-07,17.352,
2003-10,17.316,
2004-01,16.933,
2004-04,16.820,
2004-07,16.750,
2004-10,16.132,
2005-01,15.934,
2005-04,15.888,
2005-07,15.992,
2005-10,16.126,
2006-01,16.036,
2006-04,16.092,
2006-07,15.785,
2006-10,15.714,
2007-01,15.433,
2007-04,15.336,
2007-07,15.383,
2007-10,15.631,
2008-01,15.635,
2008-04,15.773,
2008-07,15.802,
2008-10,15.867,
2009-01,15.849,
2009-04,15.915,
2009-07,15.965,
2009-10,16.014,
2010-01,15.967,
2010-04,16.183,
2010-07,16.225,
2010-10,16.219,
2011-01,16.215,
2011-04,16.319,
2011-07,16.302,
2011-10,16.329,
2012-01,16.293,
2012-04,18.530,
2012-07,19.013,
2012-10,19.107,
2013-01,19.122,
2013-04,19.341,
2013-07,19.448,
2013-10,19.468,
2014-01,19.429,
2014-04,19.552,
2014-07,19.590,
