"",BBK01.OEXK01R,BBK01.OEXK01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:00,
2002-01,0.223,
2002-04,0.221,
2002-07,0.223,
2002-10,0.231,
2003-01,0.215,
2003-04,0.214,
2003-07,0.223,
2003-10,0.229,
2004-01,0.222,
2004-04,0.223,
2004-07,0.233,
2004-10,0.139,
2005-01,0.128,
2005-04,0.134,
2005-07,0.144,
2005-10,0.155,
2006-01,0.141,
2006-04,0.146,
2006-07,0.161,
2006-10,0.185,
2007-01,0.157,
2007-04,0.193,
2007-07,0.177,
2007-10,0.193,
2008-01,0.185,
2008-04,0.190,
2008-07,0.198,
2008-10,0.209,
2009-01,0.178,
2009-04,0.187,
2009-07,0.180,
2009-10,0.200,
2010-01,0.186,
2010-04,0.256,
2010-07,0.259,
2010-10,0.274,
2011-01,0.281,
2011-04,0.289,
2011-07,0.317,
2011-10,0.331,
2012-01,0.319,
2012-04,0.330,
2012-07,0.338,
2012-10,0.369,
2013-01,0.383,
2013-04,0.392,
2013-07,0.417,
2013-10,0.422,
2014-01,0.432,
2014-04,0.440,
2014-07,0.460,
