"",BBDE1.Q.DE.Y.LCB1.A2N100000.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.A2N100000.A.L.I08.A_FLAGS
"","Index of gross wages and salaries / Germany / Mining and quarrying, manufacturing and service activities (B-S) / Calendar and seasonally adjusted",
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:11,
1996-01,78.2,
1996-04,78.6,
1996-07,79.3,
1996-10,80.9,
1997-01,81.1,
1997-04,79.6,
1997-07,80.0,
1997-10,81.3,
1998-01,81.1,
1998-04,81.6,
1998-07,81.9,
1998-10,82.1,
1999-01,82.6,
1999-04,83.7,
1999-07,84.2,
1999-10,83.9,
2000-01,84.2,
2000-04,85.6,
2000-07,86.6,
2000-10,86.9,
2001-01,87.0,
2001-04,87.8,
2001-07,88.4,
2001-10,89.3,
2002-01,89.5,
2002-04,89.4,
2002-07,90.4,
2002-10,91.4,
2003-01,91.9,
2003-04,91.9,
2003-07,92.4,
2003-10,92.4,
2004-01,93.2,
2004-04,93.1,
2004-07,92.9,
2004-10,93.0,
2005-01,94.4,
2005-04,93.2,
2005-07,94.1,
2005-10,94.4,
2006-01,94.6,
2006-04,95.4,
2006-07,95.9,
2006-10,96.0,
2007-01,95.6,
2007-04,97.0,
2007-07,97.6,
2007-10,98.6,
2008-01,100.0,
2008-04,98.2,
2008-07,99.7,
2008-10,102.1,
2009-01,102.8,
2009-04,102.5,
2009-07,102.8,
2009-10,101.9,
2010-01,103.4,
2010-04,102.6,
2010-07,103.0,
2010-10,103.1,
2011-01,104.8,
2011-04,106.0,
2011-07,106.2,
2011-10,106.8,
2012-01,107.3,
2012-04,109.9,
2012-07,110.2,
2012-10,111.1,
2013-01,111.0,
2013-04,111.4,
2013-07,111.1,
2013-10,112.5,
2014-01,112.4,
2014-04,113.1,
2014-07,113.3,
