"",BBK01.OEYM04S,BBK01.OEYM04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:53,
2002-01,0.049,
2002-04,0.058,
2002-07,0.055,
2002-10,0.052,
2003-01,0.055,
2003-04,0.054,
2003-07,0.053,
2003-10,0.056,
2004-01,0.053,
2004-04,0.060,
2004-07,0.060,
2004-10,0.063,
2005-01,0.072,
2005-04,0.073,
2005-07,0.068,
2005-10,0.059,
2006-01,0.080,
2006-04,0.066,
2006-07,0.102,
2006-10,0.024,
2007-01,0.037,
2007-04,0.053,
2007-07,0.069,
2007-10,0.023,
2008-01,0.051,
2008-04,0.029,
2008-07,0.086,
2008-10,0.030,
2009-01,0.198,
2009-04,0.048,
2009-07,0.133,
2009-10,0.075,
2010-01,0.026,
2010-04,0.129,
2010-07,0.230,
2010-10,0.027,
2011-01,0.067,
2011-04,0.024,
2011-07,0.021,
2011-10,0.027,
2012-01,0.023,
2012-04,0.010,
2012-07,0.106,
2012-10,0.006,
2013-01,0.016,
2013-04,0.016,
2013-07,0.016,
2013-10,0.016,
2014-01,0.016,
2014-04,0.016,
2014-07,0.015,
