"",BBK01.OEAC35O,BBK01.OEAC35O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:25,
2002-01,0.565,
2002-04,0.574,
2002-07,0.585,
2002-10,0.576,
2003-01,0.602,
2003-04,0.582,
2003-07,0.597,
2003-10,0.580,
2004-01,0.561,
2004-04,0.535,
2004-07,0.518,
2004-10,0.520,
2005-01,0.488,
2005-04,0.479,
2005-07,0.457,
2005-10,0.451,
2006-01,0.478,
2006-04,0.471,
2006-07,0.480,
2006-10,0.500,
2007-01,0.503,
2007-04,0.506,
2007-07,0.503,
2007-10,0.494,
2008-01,0.516,
2008-04,0.489,
2008-07,0.437,
2008-10,0.435,
2009-01,0.443,
2009-04,0.456,
2009-07,0.458,
2009-10,0.447,
2010-01,0.413,
2010-04,0.429,
2010-07,0.449,
2010-10,0.432,
2011-01,0.463,
2011-04,0.475,
2011-07,0.483,
2011-10,0.471,
2012-01,0.489,
2012-04,0.493,
2012-07,0.512,
2012-10,0.526,
2013-01,0.520,
2013-04,0.513,
2013-07,0.541,
2013-10,0.526,
2014-01,0.540,
2014-04,0.539,
2014-07,0.554,
