"",BBK01.OEAF15R,BBK01.OEAF15R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:40,
2002-01,0.337,
2002-04,0.339,
2002-07,0.365,
2002-10,0.356,
2003-01,0.351,
2003-04,0.353,
2003-07,0.349,
2003-10,0.336,
2004-01,0.320,
2004-04,0.326,
2004-07,0.326,
2004-10,0.301,
2005-01,0.278,
2005-04,0.283,
2005-07,0.290,
2005-10,0.268,
2006-01,0.253,
2006-04,0.261,
2006-07,0.251,
2006-10,0.234,
2007-01,0.230,
2007-04,0.233,
2007-07,0.231,
2007-10,0.228,
2008-01,0.230,
2008-04,0.224,
2008-07,0.229,
2008-10,0.220,
2009-01,0.198,
2009-04,0.205,
2009-07,0.202,
2009-10,0.199,
2010-01,0.188,
2010-04,0.184,
2010-07,0.185,
2010-10,0.176,
2011-01,0.176,
2011-04,0.170,
2011-07,0.169,
2011-10,0.166,
2012-01,0.165,
2012-04,0.159,
2012-07,0.150,
2012-10,0.145,
2013-01,0.144,
2013-04,0.141,
2013-07,0.145,
2013-10,0.139,
2014-01,0.138,
2014-04,0.148,
2014-07,0.144,
