"",BBK01.OEXB15K,BBK01.OEXB15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:32,
2002-01,0.322,
2002-04,0.324,
2002-07,0.330,
2002-10,0.355,
2003-01,0.455,
2003-04,0.423,
2003-07,0.402,
2003-10,0.377,
2004-01,0.352,
2004-04,0.365,
2004-07,0.359,
2004-10,0.222,
2005-01,0.225,
2005-04,0.241,
2005-07,0.247,
2005-10,0.253,
2006-01,0.247,
2006-04,0.249,
2006-07,0.247,
2006-10,0.250,
2007-01,0.263,
2007-04,0.252,
2007-07,0.275,
2007-10,0.275,
2008-01,0.271,
2008-04,0.276,
2008-07,0.274,
2008-10,0.285,
2009-01,0.300,
2009-04,0.302,
2009-07,0.286,
2009-10,0.343,
2010-01,0.340,
2010-04,0.404,
2010-07,0.402,
2010-10,0.453,
2011-01,0.462,
2011-04,0.505,
2011-07,0.544,
2011-10,0.579,
2012-01,0.566,
2012-04,0.572,
2012-07,0.581,
2012-10,0.589,
2013-01,0.602,
2013-04,0.612,
2013-07,0.621,
2013-10,0.630,
2014-01,0.629,
2014-04,0.610,
2014-07,0.711,
