"",BBFB1.Q.N.DE.B2.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:32,
1991-01,2126.664,
1991-04,2188.145,
1991-07,2343.198,
1991-10,2207.076,
1992-01,2407.596,
1992-04,2435.974,
1992-07,2480.490,
1992-10,2567.112,
1993-01,2584.462,
1993-04,2210.139,
1993-07,2133.262,
1993-10,2459.038,
1994-01,2025.659,
1994-04,1930.587,
1994-07,1768.970,
1994-10,2172.744,
1995-01,2931.639,
1995-04,2610.487,
1995-07,2694.327,
1995-10,2677.654,
1996-01,2083.415,
1996-04,2062.013,
1996-07,2380.357,
1996-10,2331.841,
1997-01,2572.752,
1997-04,2622.899,
1997-07,2539.238,
1997-10,2349.078,
1998-01,3166.737,
1998-04,3799.411,
1998-07,3546.611,
1998-10,3445.310,
1999-01,4417.949,
1999-04,5687.861,
1999-07,5210.774,
1999-10,5057.611,
2000-01,5011.053,
2000-04,5475.685,
2000-07,5250.497,
2000-10,5694.137,
2001-01,4940.443,
2001-04,5940.616,
2001-07,5886.730,
2001-10,5137.334,
2002-01,4117.034,
2002-04,4704.641,
2002-07,4589.101,
2002-10,5022.910,
2003-01,5238.790,
2003-04,6416.563,
2003-07,5739.604,
2003-10,5340.570,
2004-01,5455.710,
2004-04,6144.738,
2004-07,5081.859,
2004-10,5103.348,
2005-01,4363.112,
2005-04,5848.260,
2005-07,4641.199,
2005-10,4480.215,
2006-01,6244.593,
2006-04,7462.879,
2006-07,5509.244,
2006-10,5507.436,
2007-01,3827.210,
2007-04,7055.567,
2007-07,3857.892,
2007-10,3826.376,
2008-01,4993.635,
2008-04,7291.996,
2008-07,4067.687,
2008-10,4017.548,
2009-01,4317.451,
2009-04,6173.903,
2009-07,3884.268,
2009-10,3923.802,
2010-01,4536.604,
2010-04,6639.446,
2010-07,4959.264,
2010-10,5286.287,
2011-01,5913.467,
2011-04,9209.319,
2011-07,6301.063,
2011-10,6451.002,
2012-01,7975.072,
2012-04,10132.293,
2012-07,7991.721,
2012-10,7904.544,
2013-01,7594.804,
2013-04,8825.283,
2013-07,7855.033,
2013-10,7710.151,
2014-01,7720.143,Provisional value
2014-04,10413.829,Provisional value
2014-07,7510.311,Provisional value
