"",BBK01.OEAD07Q,BBK01.OEAD07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:15,
2002-01,0.531,
2002-04,0.546,
2002-07,0.532,
2002-10,0.495,
2003-01,0.508,
2003-04,0.533,
2003-07,0.548,
2003-10,0.545,
2004-01,0.560,
2004-04,0.550,
2004-07,0.536,
2004-10,0.542,
2005-01,0.550,
2005-04,0.537,
2005-07,0.549,
2005-10,0.496,
2006-01,0.507,
2006-04,0.550,
2006-07,0.525,
2006-10,0.482,
2007-01,0.533,
2007-04,0.584,
2007-07,0.566,
2007-10,0.552,
2008-01,0.447,
2008-04,0.435,
2008-07,0.448,
2008-10,0.417,
2009-01,0.364,
2009-04,0.356,
2009-07,0.346,
2009-10,0.330,
2010-01,0.344,
2010-04,0.349,
2010-07,0.287,
2010-10,0.267,
2011-01,0.275,
2011-04,0.267,
2011-07,0.268,
2011-10,0.260,
2012-01,0.279,
2012-04,0.310,
2012-07,0.311,
2012-10,0.315,
2013-01,0.303,
2013-04,0.324,
2013-07,0.323,
2013-10,0.302,
2014-01,0.302,
2014-04,0.295,
2014-07,0.304,
