"",BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:05,
1991-01,23.241,
1991-04,22.013,
1991-07,153.439,
1991-10,125.349,
1992-01,48.025,
1992-04,51.334,
1992-07,8.236,
1992-10,40.317,
1993-01,63.388,
1993-04,8.245,
1993-07,-140.593,
1993-10,-52.846,
1994-01,-14.230,
1994-04,-53.972,
1994-07,22.461,
1994-10,-43.480,
1995-01,96.183,
1995-04,38.119,
1995-07,-154.083,
1995-10,-92.492,
1996-01,-38.971,
1996-04,-59.030,
1996-07,40.926,
1996-10,-170.884,
1997-01,-71.234,
1997-04,11.908,
1997-07,11.946,
1997-10,24.377,
1998-01,-46.546,
1998-04,641.041,
1998-07,54.831,
1998-10,70.554,
1999-01,46.098,
1999-04,-77.988,
1999-07,41.741,
1999-10,-324.355,
2000-01,11.452,
2000-04,-250.320,
2000-07,22.346,
2000-10,-114.090,
2001-01,62.140,
2001-04,-131.188,
2001-07,7.942,
2001-10,4.106,
2002-01,-41.136,
2002-04,-14.660,
2002-07,142.253,
2002-10,45.158,
2003-01,78.907,
2003-04,181.091,
2003-07,19.256,
2003-10,-2.264,
2004-01,132.897,
2004-04,-144.572,
2004-07,-109.135,
2004-10,-45.750,
2005-01,-37.813,
2005-04,-73.947,
2005-07,49.248,
2005-10,112.993,
2006-01,141.630,
2006-04,-57.484,
2006-07,-5.721,
2006-10,65.483,
2007-01,-24.916,
2007-04,-64.715,
2007-07,121.581,
2007-10,110.263,
2008-01,262.995,
2008-04,222.555,
2008-07,213.573,
2008-10,-222.229,
2009-01,-117.315,
2009-04,-48.345,
2009-07,-120.148,
2009-10,-84.410,
2010-01,-45.196,
2010-04,20.739,
2010-07,-144.854,
2010-10,106.805,
2011-01,-152.192,
2011-04,-64.113,
2011-07,-95.437,
2011-10,-44.341,
2012-01,125.820,
2012-04,-106.176,
2012-07,3.846,
2012-10,-72.409,
2013-01,-236.826,
2013-04,155.854,
2013-07,-102.230,
2013-10,-285.568,
2014-01,0.569,Provisional value
2014-04,71.895,Provisional value
2014-07,-11.255,Provisional value
2014-10,-166.941,Provisional value
