"",BBSF2.M.1.T.00000.IMM01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Real estate funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:05,
2009-09,185,
2009-10,184,
2009-11,185,
2009-12,189,
2010-01,193,
2010-02,194,
2010-03,194,
2010-04,196,
2010-05,196,
2010-06,197,
2010-07,197,
2010-08,199,
2010-09,201,
2010-10,203,
2010-11,203,
2010-12,205,
2011-01,206,
2011-02,207,
2011-03,208,
2011-04,210,
2011-05,213,
2011-06,218,
2011-07,222,
2011-08,222,
2011-09,221,
2011-10,222,
2011-11,226,
2011-12,229,
2012-01,235,
2012-02,235,
2012-03,238,
2012-04,245,
2012-05,248,
2012-06,250,
2012-07,252,
2012-08,293,
2012-09,327,
2012-10,412,
2012-11,414,
2012-12,420,
2013-01,421,
2013-02,421,
2013-03,421,
2013-04,410,
2013-05,418,
2013-06,399,
2013-07,410,
2013-08,399,
2013-09,407,
2013-10,404,
2013-11,397,
2013-12,395,
2014-01,393,
2014-02,388,
2014-03,385,
2014-04,384,
2014-05,377,
2014-06,378,
2014-07,381,
2014-08,378,
2014-09,375,
2014-10,372,
2014-11,375,
