"",BBK01.OECB22U,BBK01.OECB22U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:20,
2002-01,0.086,
2002-04,0.077,
2002-07,0.077,
2002-10,0.112,
2003-01,0.097,
2003-04,0.087,
2003-07,0.097,
2003-10,0.133,
2004-01,0.104,
2004-04,0.075,
2004-07,0.073,
2004-10,0.111,
2005-01,0.115,
2005-04,0.098,
2005-07,0.119,
2005-10,0.119,
2006-01,0.107,
2006-04,0.099,
2006-07,0.090,
2006-10,0.087,
2007-01,0.100,
2007-04,0.093,
2007-07,0.102,
2007-10,0.103,
2008-01,0.079,
2008-04,0.073,
2008-07,0.074,
2008-10,0.068,
2009-01,0.054,
2009-04,0.030,
2009-07,0.050,
2009-10,0.019,
2010-01,0.017,
2010-04,0.029,
2010-07,0.019,
2010-10,0.017,
2011-01,0.016,
2011-04,0.010,
2011-07,0.008,
2011-10,0.011,
2012-01,0.010,
2012-04,0.006,
2012-07,0.006,
2012-10,0.006,
2013-01,0.010,
2013-04,0.012,
2013-07,0.017,
2013-10,0.024,
2014-01,0.016,
2014-04,0.020,
2014-07,0.015,
