"",BBK01.OEBB02Q,BBK01.OEBB02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:15,
2002-01,3.183,
2002-04,3.091,
2002-07,3.074,
2002-10,3.007,
2003-01,2.953,
2003-04,2.940,
2003-07,2.955,
2003-10,2.503,
2004-01,2.393,
2004-04,2.264,
2004-07,2.229,
2004-10,2.094,
2005-01,2.112,
2005-04,2.032,
2005-07,2.064,
2005-10,1.889,
2006-01,1.993,
2006-04,1.985,
2006-07,1.927,
2006-10,1.958,
2007-01,1.883,
2007-04,1.930,
2007-07,1.958,
2007-10,1.964,
2008-01,1.908,
2008-04,1.973,
2008-07,1.965,
2008-10,1.836,
2009-01,1.805,
2009-04,1.626,
2009-07,1.556,
2009-10,1.401,
2010-01,1.468,
2010-04,1.479,
2010-07,1.527,
2010-10,1.466,
2011-01,1.520,
2011-04,1.544,
2011-07,1.586,
2011-10,1.394,
2012-01,1.445,
2012-04,1.465,
2012-07,1.499,
2012-10,1.439,
2013-01,1.644,
2013-04,1.615,
2013-07,1.684,
2013-10,1.470,
2014-01,1.541,
2014-04,1.760,
2014-07,1.831,
