"",BBK01.OEAA27N,BBK01.OEAA27N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:11,
2002-01,10.978,
2002-04,10.958,
2002-07,10.964,
2002-10,10.796,
2003-01,10.489,
2003-04,10.382,
2003-07,10.105,
2003-10,9.727,
2004-01,9.158,
2004-04,8.975,
2004-07,8.910,
2004-10,8.255,
2005-01,8.218,
2005-04,7.921,
2005-07,7.782,
2005-10,7.653,
2006-01,7.555,
2006-04,7.469,
2006-07,7.348,
2006-10,7.153,
2007-01,6.986,
2007-04,6.964,
2007-07,6.763,
2007-10,7.011,
2008-01,6.759,
2008-04,6.694,
2008-07,6.713,
2008-10,6.741,
2009-01,6.921,
2009-04,6.828,
2009-07,6.665,
2009-10,6.605,
2010-01,6.581,
2010-04,6.640,
2010-07,6.474,
2010-10,6.345,
2011-01,6.173,
2011-04,6.228,
2011-07,6.058,
2011-10,6.050,
2012-01,5.893,
2012-04,5.991,
2012-07,5.906,
2012-10,5.939,
2013-01,5.986,
2013-04,5.963,
2013-07,5.838,
2013-10,5.814,
2014-01,5.688,
2014-04,5.662,
2014-07,5.503,
