"",BBK01.DQ7835,BBK01.DQ7835_FLAGS
"","Pay rates, production sector (incl. construction) all items excluding one-off payments, on an hourly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:13,
1991-01,45.0,
1991-04,47.3,
1991-07,55.9,
1991-10,59.0,
1992-01,49.9,
1992-04,54.5,
1992-07,63.5,
1992-10,67.8,
1993-01,56.1,
1993-04,58.6,
1993-07,68.9,
1993-10,73.6,
1994-01,60.2,
1994-04,60.9,
1994-07,71.0,
1994-10,75.6,
1995-01,62.7,
1995-04,64.4,
1995-07,75.1,
1995-10,81.3,
1996-01,66.9,
1996-04,67.3,
1996-07,78.4,
1996-10,83.4,
1997-01,68.4,
1997-04,68.9,
1997-07,80.0,
1997-10,84.0,
1998-01,69.3,
1998-04,70.4,
1998-07,81.8,
1998-10,85.8,
1999-01,71.2,
1999-04,72.2,
1999-07,84.1,
1999-10,87.8,
2000-01,72.9,
2000-04,73.9,
2000-07,86.1,
2000-10,89.9,
2001-01,74.6,
2001-04,75.5,
2001-07,87.9,
2001-10,91.8,
2002-01,76.0,
2002-04,77.1,
2002-07,90.1,
2002-10,94.6,
2003-01,78.3,
2003-04,79.4,
2003-07,92.6,
2003-10,96.7,
2004-01,80.2,
2004-04,80.8,
2004-07,93.9,
2004-10,97.9,
2005-01,81.2,
2005-04,81.7,
2005-07,95.1,
2005-10,99.2,
2006-01,81.8,
2006-04,82.6,
2006-07,96.6,
2006-10,101.1,
2007-01,83.3,
2007-04,84.5,
2007-07,99.6,
2007-10,104.4,
2008-01,86.0,
2008-04,87.4,
2008-07,101.7,
2008-10,107.0,
2009-01,88.6,
2009-04,90.4,
2009-07,104.8,
2009-10,110.3,
2010-01,91.0,
2010-04,91.9,
2010-07,105.7,
2010-10,111.4,
2011-01,91.8,
2011-04,94.0,
2011-07,108.5,
2011-10,114.3,
2012-01,94.5,
2012-04,97.3,
2012-07,112.2,
2012-10,118.3,
2013-01,97.7,
2013-04,99.6,
2013-07,115.5,
2013-10,121.8,
2014-01,100.8,
2014-04,103.1,
2014-07,118.4,
2014-10,125.1,
