"",BBFB1.Q.N.DE.TR.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:57,
1999-01,204.735,
1999-04,341.769,
1999-07,702.695,
1999-10,334.628,
2000-01,325.994,
2000-04,544.190,
2000-07,1118.887,
2000-10,532.819,
2001-01,385.467,
2001-04,643.469,
2001-07,1323.010,
2001-10,630.024,
2002-01,287.238,
2002-04,741.556,
2002-07,1344.235,
2002-10,680.712,
2003-01,306.893,
2003-04,559.076,
2003-07,1338.798,
2003-10,743.691,
2004-01,291.151,
2004-04,692.261,
2004-07,1791.605,
2004-10,767.954,
2005-01,410.863,
2005-04,989.630,
2005-07,1664.706,
2005-10,878.687,
2006-01,317.119,
2006-04,654.634,
2006-07,1517.938,
2006-10,740.302,
2007-01,294.306,
2007-04,806.359,
2007-07,1445.424,
2007-10,722.750,
2008-01,453.972,
2008-04,862.513,
2008-07,1340.276,
2008-10,565.523,
2009-01,310.768,
2009-04,705.235,
2009-07,1318.160,
2009-10,826.657,
2010-01,398.361,
2010-04,844.239,
2010-07,1686.486,
2010-10,871.182,
2011-01,306.867,
2011-04,1015.313,
2011-07,1598.670,
2011-10,1086.967,
2012-01,365.257,
2012-04,943.954,
2012-07,1660.091,
2012-10,993.600,
2013-01,386.723,
2013-04,1082.458,
2013-07,1666.245,
2013-10,1087.861,
2014-01,461.675,Provisional value
2014-04,1084.239,Provisional value
2014-07,2083.193,Provisional value
2014-10,1190.435,Provisional value
