"",BBK01.OEGB11I,BBK01.OEGB11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:02,
2002-01,1.090,
2002-04,1.090,
2002-07,0.997,
2002-10,0.999,
2003-01,0.897,
2003-04,0.868,
2003-07,0.961,
2003-10,0.801,
2004-01,0.736,
2004-04,0.661,
2004-07,0.671,
2004-10,0.676,
2005-01,0.650,
2005-04,0.556,
2005-07,0.554,
2005-10,0.559,
2006-01,0.566,
2006-04,0.590,
2006-07,0.718,
2006-10,0.628,
2007-01,0.626,
2007-04,0.573,
2007-07,0.559,
2007-10,0.596,
2008-01,0.712,
2008-04,0.842,
2008-07,0.966,
2008-10,1.250,
2009-01,1.100,
2009-04,1.522,
2009-07,1.663,
2009-10,1.771,
2010-01,1.873,
2010-04,1.856,
2010-07,1.774,
2010-10,1.891,
2011-01,1.993,
2011-04,2.124,
2011-07,2.441,
2011-10,3.146,
2012-01,3.284,
2012-04,3.474,
2012-07,3.370,
2012-10,3.429,
2013-01,3.284,
2013-04,4.028,
2013-07,2.967,
2013-10,2.848,
2014-01,3.358,
2014-04,3.525,
2014-07,3.858,
