"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.GR.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.GR.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Greece / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:43,
2009-09,1668,
2009-10,1678,
2009-11,1927,
2009-12,1822,
2010-01,1595,
2010-02,1640,
2010-03,1784,
2010-04,1353,
2010-05,1188,
2010-06,831,
2010-07,730,
2010-08,717,
2010-09,733,
2010-10,671,
2010-11,637,
2010-12,623,
2011-01,626,
2011-02,605,
2011-03,469,
2011-04,335,
2011-05,228,
2011-06,203,
2011-07,165,
2011-08,113,
2011-09,74,
2011-10,67,
2011-11,45,
2011-12,44,
2012-01,42,
2012-02,35,
2012-03,9,
2012-04,10,
2012-05,5,
2012-06,7,
2012-07,7,
2012-08,8,
2012-09,9,
2012-10,11,
2012-11,14,
2012-12,9,
2013-01,10,
2013-02,11,
2013-03,9,
2013-04,9,
2013-05,11,
2013-06,10,
2013-07,12,
2013-08,12,
2013-09,13,
2013-10,14,
2013-11,37,
2013-12,38,
2014-01,29,
2014-02,22,
2014-03,24,
2014-04,33,
2014-05,31,
2014-06,31,
2014-07,27,
2014-08,25,
2014-09,25,
2014-10,33,
2014-11,36,
