"",BBK01.OEYJ05N,BBK01.OEYJ05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:57,
2002-01,32.184,
2002-04,32.275,
2002-07,32.887,
2002-10,33.025,
2003-01,35.068,
2003-04,35.859,
2003-07,37.317,
2003-10,31.368,
2004-01,32.287,
2004-04,35.473,
2004-07,36.754,
2004-10,37.864,
2005-01,39.332,
2005-04,38.407,
2005-07,41.238,
2005-10,43.932,
2006-01,46.494,
2006-04,49.667,
2006-07,53.156,
2006-10,55.227,
2007-01,57.536,
2007-04,60.162,
2007-07,62.104,
2007-10,62.641,
2008-01,63.394,
2008-04,64.068,
2008-07,56.858,
2008-10,57.139,
2009-01,58.790,
2009-04,58.654,
2009-07,58.805,
2009-10,54.943,
2010-01,59.008,
2010-04,54.159,
2010-07,53.730,
2010-10,52.902,
2011-01,52.367,
2011-04,52.414,
2011-07,51.495,
2011-10,50.539,
2012-01,49.634,
2012-04,48.853,
2012-07,48.692,
2012-10,44.822,
2013-01,43.588,
2013-04,43.283,
2013-07,41.917,
2013-10,41.211,
2014-01,40.056,
2014-04,39.160,
2014-07,38.927,
