"",BBK01.OEBM01S,BBK01.OEBM01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:19,
2002-01,0.591,
2002-04,0.524,
2002-07,0.508,
2002-10,0.500,
2003-01,0.394,
2003-04,0.349,
2003-07,0.388,
2003-10,0.341,
2004-01,0.284,
2004-04,0.324,
2004-07,0.329,
2004-10,0.317,
2005-01,0.331,
2005-04,0.354,
2005-07,0.386,
2005-10,0.387,
2006-01,0.373,
2006-04,0.409,
2006-07,0.431,
2006-10,0.402,
2007-01,0.445,
2007-04,0.478,
2007-07,0.518,
2007-10,0.535,
2008-01,0.563,
2008-04,0.576,
2008-07,0.609,
2008-10,0.670,
2009-01,0.771,
2009-04,0.964,
2009-07,0.862,
2009-10,0.879,
2010-01,0.877,
2010-04,0.910,
2010-07,0.929,
2010-10,0.931,
2011-01,0.903,
2011-04,0.899,
2011-07,0.912,
2011-10,0.960,
2012-01,1.054,
2012-04,0.973,
2012-07,1.046,
2012-10,1.014,
2013-01,1.052,
2013-04,1.147,
2013-07,1.105,
2013-10,1.235,
2014-01,1.133,
2014-04,1.099,
2014-07,1.101,
