"",BBFN1.M.DE.N.1.L.AU.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AU.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:33,
1994-12,0.690,
1995-01,0.693,
1995-02,0.710,
1995-03,0.730,
1995-04,0.682,
1995-05,0.656,
1995-06,0.658,
1995-07,0.655,
1995-08,0.687,
1995-09,0.707,
1995-10,0.704,
1995-11,0.671,
1995-12,0.703,
1996-01,0.686,
1996-02,0.715,
1996-03,0.706,
1996-04,0.745,
1996-05,0.810,
1996-06,0.748,
1996-07,0.760,
1996-08,0.761,
1996-09,0.791,
1996-10,0.794,
1996-11,0.845,
1996-12,0.873,
1997-01,0.839,
1997-02,0.770,
1997-03,0.775,
1997-04,0.783,
1997-05,0.779,
1997-06,0.725,
1997-07,0.676,
1997-08,0.670,
1997-09,0.644,
1997-10,0.632,
1997-11,0.673,
1997-12,0.679,
1998-01,0.686,
1998-02,0.678,
1998-03,0.697,
1998-04,0.671,
1998-05,0.685,
1998-06,0.725,
1998-07,0.671,
1998-08,0.628,
1998-09,0.614,
1998-10,0.604,
1998-11,0.614,
1998-12,0.596,
1999-01,0.553,
1999-02,0.586,
1999-03,0.565,
1999-04,0.557,
1999-05,0.598,
1999-06,0.592,
1999-07,0.612,
1999-08,0.600,
1999-09,0.566,
1999-10,0.468,
1999-11,0.537,
1999-12,0.526,
2000-01,0.515,
2000-02,0.541,
2000-03,0.497,
2000-04,0.588,
2000-05,0.586,
2000-06,0.548,
2000-07,0.551,
2000-08,0.642,
2000-09,0.663,
2000-10,0.700,
2000-11,0.728,
2000-12,0.755,
2001-01,0.641,
2001-02,0.658,
2001-03,0.587,
2001-04,0.598,
2001-05,0.618,
2001-06,0.673,
2001-07,0.559,
2001-08,0.585,
2001-09,0.608,
2001-10,0.579,
2001-11,0.543,
2001-12,0.677,
2002-01,0.630,
2002-02,0.650,
2002-03,0.702,
2002-04,0.657,
2002-05,0.668,
2002-06,0.724,
2002-07,0.699,
2002-08,0.706,
2002-09,1.266,
2002-10,1.355,
2002-11,1.268,
2002-12,1.236,
2003-01,1.258,
2003-02,1.290,
2003-03,1.545,
2003-04,1.574,
2003-05,1.565,
2003-06,1.632,
2003-07,1.730,
2003-08,1.712,
2003-09,1.715,
2003-10,1.714,
2003-11,1.785,
2003-12,1.780,
2004-01,1.965,
2004-02,1.961,
2004-03,2.247,
2004-04,2.302,
2004-05,2.324,
2004-06,2.813,
2004-07,2.859,
2004-08,2.729,
2004-09,2.789,
2004-10,2.868,
2004-11,2.886,
2004-12,2.868,
2005-01,0.880,
2005-02,0.863,
2005-03,0.742,
2005-04,0.753,
2005-05,0.766,
2005-06,0.759,
2005-07,0.778,
2005-08,0.884,
2005-09,0.843,
2005-10,0.876,
2005-11,0.859,
2005-12,1.238,
2006-01,0.968,
2006-02,1.036,
2006-03,0.984,
2006-04,0.970,
2006-05,0.926,
2006-06,0.954,
2006-07,0.975,
2006-08,0.993,
2006-09,1.011,
2006-10,1.014,
2006-11,1.051,
2006-12,1.028,
2007-01,0.968,
2007-02,0.992,
2007-03,1.167,
2007-04,1.020,
2007-05,1.139,
2007-06,1.084,
2007-07,1.170,
2007-08,1.171,
2007-09,1.290,
2007-10,1.268,
2007-11,1.315,
2007-12,1.254,
2008-01,1.437,
2008-02,1.368,
2008-03,1.295,
2008-04,1.461,
2008-05,1.472,
2008-06,1.481,
2008-07,1.477,
2008-08,1.516,
2008-09,1.444,
2008-10,1.461,
2008-11,1.602,
2008-12,1.695,
2009-01,1.492,
2009-02,1.556,
2009-03,1.940,
2009-04,1.611,
2009-05,1.714,
2009-06,1.678,
2009-07,1.738,
2009-08,1.787,
2009-09,1.734,
2009-10,1.804,
2009-11,1.786,
2009-12,1.766,
2010-01,1.714,
2010-02,1.812,
2010-03,1.782,
2010-04,1.580,
2010-05,1.839,
2010-06,1.965,
2010-07,1.997,
2010-08,2.034,
2010-09,2.098,
2010-10,2.107,
2010-11,2.176,
2010-12,2.271,
2011-01,1.869,
2011-02,1.882,
2011-03,1.824,
2011-04,1.780,
2011-05,1.914,
2011-06,2.269,
2011-07,2.014,
2011-08,2.102,
2011-09,2.284,
2011-10,2.229,
2011-11,2.158,
2011-12,2.241,
2012-01,2.120,
2012-02,2.287,
2012-03,2.275,
2012-04,2.064,
2012-05,2.019,
2012-06,2.279,
2012-07,2.281,
2012-08,2.269,
2012-09,2.223,
2012-10,2.271,
2012-11,2.229,
2012-12,2.362,
2013-01,2.384,
2013-02,2.434,
2013-03,2.290,
2013-04,2.267,
2013-05,2.071,
2013-06,2.307,
2013-07,2.159,
2013-08,1.988,
2013-09,2.191,
2013-10,1.986,
2013-11,1.831,
2013-12,1.936,
2014-01,1.736,
2014-02,1.803,
2014-03,1.898,
2014-04,1.750,
2014-05,1.757,
2014-06,1.907,
2014-07,2.064,
2014-08,2.040,
2014-09,2.152,
2014-10,2.070,
2014-11,2.031,
2014-12,2.384,
