"",BBFN1.M.DE.N.1.A.LY.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LY.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:04,
1994-07,0.162,
1994-08,0.172,
1994-09,0.178,
1994-10,0.168,
1994-11,0.169,
1994-12,0.160,
1995-01,0.155,
1995-02,0.146,
1995-03,0.154,
1995-04,0.161,
1995-05,0.160,
1995-06,0.154,
1995-07,0.149,
1995-08,0.156,
1995-09,0.155,
1995-10,0.148,
1995-11,0.149,
1995-12,0.141,
1996-01,0.145,
1996-02,0.148,
1996-03,0.142,
1996-04,0.146,
1996-05,0.154,
1996-06,0.142,
1996-07,0.152,
1996-08,0.151,
1996-09,0.150,
1996-10,0.148,
1996-11,0.156,
1996-12,0.144,
1997-01,0.148,
1997-02,0.144,
1997-03,0.137,
1997-04,0.139,
1997-05,0.135,
1997-06,0.154,
1997-07,0.170,
1997-08,0.167,
1997-09,0.159,
1997-10,0.161,
1997-11,0.157,
1997-12,0.141,
1998-01,0.156,
1998-02,0.165,
1998-03,0.155,
1998-04,0.162,
1998-05,0.151,
1998-06,0.167,
1998-07,0.162,
1998-08,0.153,
1998-09,0.149,
1998-10,0.143,
1998-11,0.146,
1998-12,0.146,
1999-01,0.150,
1999-02,0.143,
1999-03,0.133,
1999-04,0.133,
1999-05,0.136,
1999-06,0.153,
1999-07,0.183,
1999-08,0.159,
1999-09,0.172,
1999-10,0.158,
1999-11,0.157,
1999-12,0.145,
2000-01,0.137,
2000-02,0.128,
2000-03,0.143,
2000-04,0.137,
2000-05,0.148,
2000-06,0.145,
2000-07,0.160,
2000-08,0.170,
2000-09,0.147,
2000-10,0.154,
2000-11,0.171,
2000-12,0.158,
2001-01,0.203,
2001-02,0.166,
2001-03,0.190,
2001-04,0.190,
2001-05,0.229,
2001-06,0.306,
2001-07,0.264,
2001-08,0.248,
2001-09,0.298,
2001-10,0.294,
2001-11,0.293,
2001-12,0.214,
2002-01,0.213,
2002-02,0.209,
2002-03,0.172,
2002-04,0.218,
2002-05,0.232,
2002-06,0.239,
2002-07,0.263,
2002-08,0.244,
2002-09,0.178,
2002-10,0.248,
2002-11,0.270,
2002-12,0.261,
2003-01,0.211,
2003-02,0.250,
2003-03,0.199,
2003-04,0.240,
2003-05,0.220,
2003-06,0.198,
2003-07,0.177,
2003-08,0.195,
2003-09,0.198,
2003-10,0.195,
2003-11,0.232,
2003-12,0.245,
2004-01,0.194,
2004-02,0.194,
2004-03,0.210,
2004-04,0.185,
2004-05,0.226,
2004-06,0.204,
2004-07,0.202,
2004-08,0.189,
2004-09,0.205,
2004-10,0.161,
2004-11,0.184,
2004-12,0.182,
2005-01,0.174,
2005-02,0.212,
2005-03,0.206,
2005-04,0.237,
2005-05,0.260,
2005-06,0.262,
2005-07,0.240,
2005-08,0.219,
2005-09,0.299,
2005-10,0.280,
2005-11,0.275,
2005-12,0.315,
2006-01,0.295,
2006-02,0.208,
2006-03,0.236,
2006-04,0.257,
2006-05,0.299,
2006-06,0.290,
2006-07,0.282,
2006-08,0.232,
2006-09,0.215,
2006-10,0.225,
2006-11,0.246,
2006-12,0.211,
2007-01,0.224,
2007-02,0.205,
2007-03,0.205,
2007-04,0.240,
2007-05,0.232,
2007-06,0.262,
2007-07,0.283,
2007-08,0.264,
2007-09,0.277,
2007-10,0.268,
2007-11,0.268,
2007-12,0.334,
2008-01,0.250,
2008-02,0.292,
2008-03,0.335,
2008-04,0.324,
2008-05,0.303,
2008-06,0.344,
2008-07,0.341,
2008-08,0.322,
2008-09,0.326,
2008-10,0.342,
2008-11,0.385,
2008-12,0.370,
2009-01,0.411,
2009-02,0.355,
2009-03,0.296,
2009-04,0.309,
2009-05,0.309,
2009-06,0.276,
2009-07,0.278,
2009-08,0.267,
2009-09,0.283,
2009-10,0.291,
2009-11,0.299,
2009-12,0.342,
2010-01,0.328,
2010-02,0.315,
2010-03,0.323,
2010-04,0.310,
2010-05,0.341,
2010-06,0.256,
2010-07,0.267,
2010-08,0.329,
2010-09,0.337,
2010-10,0.320,
2010-11,0.343,
2010-12,0.322,
2011-01,0.304,
2011-02,0.303,
2011-03,0.289,
2011-04,0.272,
2011-05,0.269,
2011-06,0.262,
2011-07,0.298,
2011-08,0.292,
2011-09,0.298,
2011-10,0.299,
2011-11,0.292,
2011-12,0.389,
2012-01,0.283,
2012-02,0.373,
2012-03,0.365,
2012-04,0.349,
2012-05,0.349,
2012-06,0.317,
2012-07,0.320,
2012-08,0.330,
2012-09,0.300,
2012-10,0.326,
2012-11,0.307,
2012-12,0.302,
2013-01,0.292,
2013-02,0.303,
2013-03,0.299,
2013-04,0.281,
2013-05,0.265,
2013-06,0.262,
2013-07,0.236,
2013-08,0.245,
2013-09,0.275,
2013-10,0.288,
2013-11,0.314,
2013-12,0.337,
2014-01,0.330,
2014-02,0.395,
2014-03,0.355,
2014-04,0.343,
2014-05,0.359,
2014-06,0.322,
2014-07,0.337,
2014-08,0.321,
2014-09,0.370,
2014-10,0.276,
2014-11,0.235,
2014-12,0.255,
