"",BBSF2.M.1.T.00000.DGE01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.DGE01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:45,
2009-09,91,
2009-10,80,
2009-11,74,
2009-12,72,
2010-01,66,
2010-02,80,
2010-03,44,
2010-04,47,
2010-05,78,
2010-06,75,
2010-07,156,
2010-08,300,
2010-09,384,
2010-10,366,
2010-11,146,
2010-12,200,
2011-01,489,
2011-02,99,
2011-03,130,
2011-04,108,
2011-05,95,
2011-06,138,
2011-07,96,
2011-08,137,
2011-09,150,
2011-10,120,
2011-11,116,
2011-12,144,
2012-01,146,
2012-02,108,
2012-03,384,
2012-04,361,
2012-05,269,
2012-06,240,
2012-07,316,
2012-08,139,
2012-09,322,
2012-10,338,
2012-11,632,
2012-12,444,
2013-01,603,
2013-02,611,
2013-03,616,
2013-04,471,
2013-05,311,
2013-06,462,
2013-07,313,
2013-08,448,
2013-09,351,
2013-10,313,
2013-11,418,
2013-12,526,
2014-01,727,
2014-02,656,
2014-03,760,
2014-04,638,
2014-05,625,
2014-06,707,
2014-07,748,
2014-08,732,
2014-09,610,
2014-10,602,
2014-11,588,
