"",BBK01.OEAH97I,BBK01.OEAH97I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:54,
2002-01,0.041,
2002-04,0.041,
2002-07,0.042,
2002-10,0.040,
2003-01,0.037,
2003-04,0.036,
2003-07,0.033,
2003-10,0.031,
2004-01,0.029,
2004-04,0.028,
2004-07,0.024,
2004-10,0.023,
2005-01,0.022,
2005-04,0.023,
2005-07,0.022,
2005-10,0.022,
2006-01,0.022,
2006-04,0.024,
2006-07,0.027,
2006-10,0.030,
2007-01,0.036,
2007-04,0.038,
2007-07,0.040,
2007-10,0.045,
2008-01,0.047,
2008-04,0.052,
2008-07,0.056,
2008-10,0.074,
2009-01,0.078,
2009-04,0.082,
2009-07,0.082,
2009-10,0.072,
2010-01,0.081,
2010-04,0.083,
2010-07,0.090,
2010-10,0.096,
2011-01,0.096,
2011-04,0.104,
2011-07,0.107,
2011-10,0.117,
2012-01,0.124,
2012-04,0.131,
2012-07,0.137,
2012-10,0.136,
2013-01,0.128,
2013-04,0.123,
2013-07,0.117,
2013-10,0.112,
2014-01,0.111,
2014-04,0.108,
2014-07,0.102,
