"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.GB.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.GB.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / United Kingdom / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:48,
2009-09,2786,
2009-10,2889,
2009-11,2897,
2009-12,2805,
2010-01,2871,
2010-02,2768,
2010-03,2850,
2010-04,2921,
2010-05,2993,
2010-06,3200,
2010-07,3091,
2010-08,3344,
2010-09,3273,
2010-10,3137,
2010-11,3214,
2010-12,3152,
2011-01,2974,
2011-02,2254,
2011-03,2242,
2011-04,2193,
2011-05,2246,
2011-06,2196,
2011-07,2174,
2011-08,2197,
2011-09,2374,
2011-10,2338,
2011-11,2530,
2011-12,2569,
2012-01,2724,
2012-02,2556,
2012-03,2559,
2012-04,2714,
2012-05,2817,
2012-06,2819,
2012-07,2856,
2012-08,2764,
2012-09,2652,
2012-10,2545,
2012-11,2544,
2012-12,2539,
2013-01,2125,
2013-02,2146,
2013-03,2349,
2013-04,2450,
2013-05,2410,
2013-06,2391,
2013-07,2325,
2013-08,2352,
2013-09,2383,
2013-10,2282,
2013-11,2295,
2013-12,2285,
2014-01,2196,
2014-02,2167,
2014-03,2248,
2014-04,2236,
2014-05,2356,
2014-06,2493,
2014-07,2595,
2014-08,2695,
2014-09,2882,
2014-10,2685,
2014-11,2710,
