"",BBK01.OEXK02J,BBK01.OEXK02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:04,
2002-01,0.192,
2002-04,0.186,
2002-07,0.201,
2002-10,0.194,
2003-01,0.193,
2003-04,0.189,
2003-07,0.212,
2003-10,0.227,
2004-01,0.225,
2004-04,0.219,
2004-07,0.222,
2004-10,0.225,
2005-01,0.224,
2005-04,0.241,
2005-07,0.220,
2005-10,0.210,
2006-01,0.201,
2006-04,0.207,
2006-07,0.188,
2006-10,0.185,
2007-01,0.182,
2007-04,0.192,
2007-07,0.167,
2007-10,0.172,
2008-01,0.158,
2008-04,0.171,
2008-07,0.164,
2008-10,0.154,
2009-01,0.152,
2009-04,0.162,
2009-07,0.198,
2009-10,0.204,
2010-01,0.198,
2010-04,0.204,
2010-07,0.196,
2010-10,0.201,
2011-01,0.195,
2011-04,0.214,
2011-07,0.243,
2011-10,0.265,
2012-01,0.265,
2012-04,0.267,
2012-07,0.273,
2012-10,0.299,
2013-01,0.315,
2013-04,0.333,
2013-07,0.351,
2013-10,0.358,
2014-01,0.377,
2014-04,0.374,
2014-07,0.374,
