"",BBK01.PQB360,BBK01.PQB360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:12,
1968-10,0.621,
1969-01,0.631,
1969-04,0.646,
1969-07,0.635,
1969-10,0.708,
1970-01,0.715,
1970-04,0.739,
1970-07,0.781,
1970-10,0.830,
1971-01,0.856,
1971-04,0.879,
1971-07,0.961,
1971-10,1.051,
1972-01,1.040,
1972-04,1.099,
1972-07,1.175,
1972-10,1.373,
1973-01,1.504,
1973-04,1.637,
1973-07,1.616,
1973-10,1.568,
1974-01,1.517,
1974-04,1.474,
1974-07,1.479,
1974-10,1.442,
1975-01,1.292,
1975-04,1.238,
1975-07,1.211,
1975-10,1.277,
1976-01,1.235,
1976-04,1.293,
1976-07,1.365,
1976-10,1.538,
1977-01,1.451,
1977-04,1.526,
1977-07,1.566,
1977-10,1.689,
1978-01,1.651,
1978-04,1.696,
1978-07,1.767,
1978-10,1.933,
1979-01,1.903,
1979-04,1.981,
1979-07,2.046,
1979-10,2.114,
1980-01,2.026,
1980-04,2.003,
1980-07,1.959,
1980-10,2.133,
1981-01,2.207,
1981-04,2.225,
1981-07,2.329,
1981-10,2.640,
1982-01,2.669,
1982-04,2.870,
1982-07,3.091,
1982-10,3.363,
1983-01,3.428,
1983-04,3.474,
1983-07,3.621,
1983-10,3.966,
1984-01,4.025,
1984-04,4.080,
1984-07,4.141,
1984-10,4.065,
1985-01,3.995,
1985-04,3.949,
1985-07,3.934,
1985-10,3.856,
1986-01,3.795,
1986-04,3.783,
1986-07,3.704,
1986-10,4.179,
1987-01,4.062,
1987-04,4.028,
1987-07,4.246,
1987-10,4.319,
1988-01,4.284,
1988-04,4.313,
1988-07,4.374,
1988-10,4.507,
1989-01,4.469,
1989-04,4.589,
1989-07,4.478,
1989-10,4.629,
1990-01,4.885,
1990-04,4.955,
1990-07,5.195,
1990-10,5.612,
1991-01,5.826,
1991-04,6.172,
1991-07,6.560,
1991-10,6.858,
1992-01,6.912,
1992-04,7.087,
1992-07,7.265,
1992-10,7.362,
1993-01,7.348,
1993-04,7.391,
1993-07,7.413,
1993-10,7.476,
1994-01,7.168,
1994-04,6.770,
1994-07,6.639,
1994-10,6.908,
1995-01,6.706,
1995-04,6.868,
1995-07,6.776,
1995-10,6.862,
1996-01,6.692,
1996-04,6.800,
1996-07,6.947,
1996-10,6.958,
1997-01,6.873,
1997-04,7.017,
1997-07,6.920,
1997-10,6.867,
1998-01,6.624,
1998-04,6.626,
1998-07,6.663,
1998-10,6.314,
1999-01,9.280,
1999-04,9.868,
1999-07,9.704,
1999-10,9.220,
2000-01,9.464,
2000-04,9.503,
2000-07,9.908,
2000-10,9.909,
2001-01,9.555,
2001-04,9.451,
2001-07,9.111,
2001-10,8.862,
2002-01,8.658,
2002-04,9.735,
2002-07,9.692,
2002-10,9.603,
2003-01,10.077,
2003-04,9.829,
2003-07,9.786,
2003-10,10.104,
2004-01,9.977,
2004-04,10.703,
2004-07,11.144,
2004-10,11.466,
2005-01,11.356,
2005-04,12.797,
2005-07,12.142,
2005-10,12.240,
2006-01,12.356,
2006-04,11.956,
2006-07,11.983,
2006-10,11.386,
2007-01,11.519,
2007-04,11.584,
2007-07,11.870,
2007-10,11.921,
2008-01,11.935,
2008-04,12.084,
2008-07,12.077,
2008-10,12.264,
2009-01,12.350,
2009-04,12.383,
2009-07,12.469,
2009-10,12.575,
2010-01,12.484,
2010-04,12.698,
2010-07,12.897,
2010-10,13.055,
2011-01,13.020,
2011-04,13.131,
2011-07,15.650,
2011-10,15.969,
2012-01,16.023,
2012-04,16.283,
2012-07,16.286,
2012-10,16.473,
2013-01,16.235,
2013-04,16.334,
2013-07,16.272,
2013-10,16.373,
2014-01,16.272,
2014-04,15.928,
2014-07,16.152,
2014-10,16.095,
