"",BBK01.OEAM01T,BBK01.OEAM01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:14,
2002-01,1.084,
2002-04,1.036,
2002-07,1.068,
2002-10,1.066,
2003-01,0.974,
2003-04,0.879,
2003-07,0.879,
2003-10,0.906,
2004-01,0.924,
2004-04,0.859,
2004-07,0.873,
2004-10,1.054,
2005-01,1.079,
2005-04,1.085,
2005-07,1.097,
2005-10,1.181,
2006-01,1.100,
2006-04,1.345,
2006-07,1.183,
2006-10,1.407,
2007-01,1.284,
2007-04,1.336,
2007-07,1.374,
2007-10,1.429,
2008-01,1.401,
2008-04,1.498,
2008-07,1.320,
2008-10,1.404,
2009-01,1.276,
2009-04,1.323,
2009-07,1.334,
2009-10,1.297,
2010-01,1.146,
2010-04,1.269,
2010-07,1.156,
2010-10,1.417,
2011-01,1.109,
2011-04,1.101,
2011-07,1.535,
2011-10,1.469,
2012-01,1.375,
2012-04,1.065,
2012-07,1.381,
2012-10,1.472,
2013-01,1.134,
2013-04,1.265,
2013-07,1.187,
2013-10,1.243,
2014-01,1.331,
2014-04,1.330,
2014-07,1.260,
