"",BBDE1.M.DE.Y.BAA1.A2R240050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R240050.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / 24+25 Manufacture of basic metals and fabricated metal products, except machinery and equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:41,
1991-01,82.1,
1991-02,84.1,
1991-03,83.5,
1991-04,82.4,
1991-05,82.0,
1991-06,84.8,
1991-07,83.1,
1991-08,79.3,
1991-09,81.6,
1991-10,82.7,
1991-11,84.7,
1991-12,86.5,
1992-01,84.3,
1992-02,86.1,
1992-03,84.8,
1992-04,83.3,
1992-05,83.0,
1992-06,81.4,
1992-07,80.5,
1992-08,81.4,
1992-09,79.7,
1992-10,78.5,
1992-11,77.9,
1992-12,79.9,
1993-01,78.6,
1993-02,74.6,
1993-03,73.6,
1993-04,74.0,
1993-05,73.5,
1993-06,74.5,
1993-07,72.1,
1993-08,75.2,
1993-09,75.4,
1993-10,75.5,
1993-11,74.6,
1993-12,76.1,
1994-01,76.6,
1994-02,75.9,
1994-03,76.1,
1994-04,77.6,
1994-05,78.0,
1994-06,76.7,
1994-07,74.9,
1994-08,78.7,
1994-09,79.5,
1994-10,80.5,
1994-11,80.4,
1994-12,83.3,
1995-01,81.3,
1995-02,82.6,
1995-03,82.7,
1995-04,82.2,
1995-05,81.9,
1995-06,81.1,
1995-07,82.1,
1995-08,79.8,
1995-09,82.8,
1995-10,79.1,
1995-11,78.2,
1995-12,77.2,
1996-01,77.7,
1996-02,76.6,
1996-03,77.3,
1996-04,76.8,
1996-05,77.4,
1996-06,78.0,
1996-07,77.3,
1996-08,78.8,
1996-09,78.7,
1996-10,78.0,
1996-11,79.6,
1996-12,81.5,
1997-01,77.8,
1997-02,80.4,
1997-03,81.8,
1997-04,81.1,
1997-05,80.6,
1997-06,83.7,
1997-07,85.4,
1997-08,82.3,
1997-09,84.1,
1997-10,86.1,
1997-11,86.5,
1997-12,89.6,
1998-01,86.3,
1998-02,86.0,
1998-03,89.6,
1998-04,86.2,
1998-05,87.3,
1998-06,86.4,
1998-07,87.3,
1998-08,86.5,
1998-09,84.8,
1998-10,85.4,
1998-11,83.9,
1998-12,84.0,
1999-01,84.4,
1999-02,83.5,
1999-03,84.5,
1999-04,85.0,
1999-05,84.8,
1999-06,84.5,
