"",BBFN1.M.DE.N.1.A.CH.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1997-08,0.705,
1997-09,0.612,
1997-10,0.641,
1997-11,0.694,
1997-12,0.737,
1998-01,0.639,
1998-02,0.602,
1998-03,0.693,
1998-04,0.915,
1998-05,1.321,
1998-06,0.639,
1998-07,0.677,
1998-08,0.853,
1998-09,0.583,
1998-10,0.597,
1998-11,0.813,
1998-12,1.371,
1999-01,1.474,
1999-02,1.528,
1999-03,1.498,
1999-04,1.570,
1999-05,1.533,
1999-06,1.542,
1999-07,1.518,
1999-08,1.415,
1999-09,1.543,
1999-10,1.535,
1999-11,1.519,
1999-12,1.573,
2000-01,1.545,
2000-02,1.481,
2000-03,1.488,
2000-04,1.482,
2000-05,1.577,
2000-06,1.595,
2000-07,1.508,
2000-08,1.434,
2000-09,1.543,
2000-10,1.441,
2000-11,1.423,
2000-12,1.260,
2001-01,1.318,
2001-02,1.334,
2001-03,1.281,
2001-04,1.392,
2001-05,1.398,
2001-06,1.289,
2001-07,1.186,
2001-08,1.281,
2001-09,1.317,
2001-10,1.380,
2001-11,1.314,
2001-12,1.328,
2002-01,1.163,
2002-02,1.092,
2002-03,1.117,
2002-04,1.109,
2002-05,1.124,
2002-06,1.063,
2002-07,1.124,
2002-08,1.082,
2002-09,1.220,
2002-10,1.215,
2002-11,1.123,
2002-12,1.114,
2003-01,1.223,
2003-02,1.254,
2003-03,1.216,
2003-04,1.307,
2003-05,1.307,
2003-06,1.193,
2003-07,1.140,
2003-08,1.169,
2003-09,1.178,
2003-10,1.236,
2003-11,1.368,
2003-12,1.310,
2004-01,1.345,
2004-02,1.375,
2004-03,1.476,
2004-04,1.507,
2004-05,1.628,
2004-06,1.648,
2004-07,1.678,
2004-08,1.674,
2004-09,1.613,
2004-10,1.621,
2004-11,1.598,
2004-12,1.296,
2005-01,1.256,
2005-02,0.502,
2005-03,0.601,
2005-04,0.738,
2005-05,0.787,
2005-06,0.644,
2005-07,0.733,
2005-08,0.849,
2005-09,0.797,
2005-10,0.869,
2005-11,1.023,
2005-12,0.703,
2006-01,0.881,
2006-02,0.622,
2006-03,0.674,
2006-04,0.581,
2006-05,0.538,
2006-06,0.646,
2006-07,0.662,
2006-08,0.600,
2006-09,0.772,
2006-10,0.885,
2006-11,0.955,
2006-12,0.850,
2007-01,0.919,
2007-02,0.918,
2007-03,0.973,
2007-04,0.839,
2007-05,1.177,
2007-06,0.903,
2007-07,1.102,
2007-08,0.859,
2007-09,1.265,
2007-10,1.121,
2007-11,1.176,
2007-12,1.226,
2008-01,1.267,
2008-02,0.907,
2008-03,0.802,
2008-04,0.703,
2008-05,0.844,
2008-06,0.593,
2008-07,0.951,
2008-08,0.773,
2008-09,0.797,
2008-10,1.157,
2008-11,1.355,
2008-12,1.057,
2009-01,0.981,
2009-02,0.995,
2009-03,1.230,
2009-04,1.780,
2009-05,1.532,
2009-06,1.571,
2009-07,1.543,
2009-08,1.591,
2009-09,1.440,
2009-10,1.539,
2009-11,2.005,
2009-12,2.235,
2010-01,2.118,
2010-02,1.790,
2010-03,2.174,
2010-04,2.090,
2010-05,2.218,
2010-06,3.456,
2010-07,2.498,
2010-08,2.379,
2010-09,2.422,
2010-10,2.606,
2010-11,2.712,
2010-12,2.610,
2011-01,2.295,
2011-02,1.581,
2011-03,1.895,
2011-04,2.168,
2011-05,2.031,
2011-06,1.863,
2011-07,1.877,
2011-08,6.397,
2011-09,8.616,
2011-10,9.288,
2011-11,8.871,
2011-12,5.661,
2012-01,5.435,
2012-02,6.596,
2012-03,8.357,
2012-04,8.399,
2012-05,9.922,
2012-06,11.504,
2012-07,12.243,
2012-08,12.763,
2012-09,13.095,
2012-10,12.491,
2012-11,11.942,
2012-12,10.236,
2013-01,12.129,
2013-02,12.568,
2013-03,11.580,
2013-04,13.979,
2013-05,13.066,
2013-06,10.614,
2013-07,9.903,
2013-08,1.269,
2013-09,1.356,
2013-10,1.548,
2013-11,1.304,
2013-12,2.136,
2014-01,2.275,
2014-02,2.325,
2014-03,2.124,
2014-04,2.064,
2014-05,1.722,
2014-06,1.720,
2014-07,1.493,
2014-08,1.396,
2014-09,1.399,
2014-10,1.383,
2014-11,1.218,
2014-12,1.259,
