"",BBK01.OEAO02H,BBK01.OEAO02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:45,
2002-01,13.777,
2002-04,10.211,
2002-07,9.734,
2002-10,10.942,
2003-01,12.435,
2003-04,9.220,
2003-07,9.846,
2003-10,11.086,
2004-01,11.511,
2004-04,9.709,
2004-07,10.127,
2004-10,12.071,
2005-01,14.164,
2005-04,11.404,
2005-07,9.035,
2005-10,10.753,
2006-01,11.224,
2006-04,9.866,
2006-07,9.390,
2006-10,11.402,
2007-01,12.548,
2007-04,9.912,
2007-07,9.409,
2007-10,11.048,
2008-01,11.081,
2008-04,9.399,
2008-07,8.731,
2008-10,12.959,
2009-01,15.036,
2009-04,14.036,
2009-07,13.971,
2009-10,14.084,
2010-01,14.620,
2010-04,10.943,
2010-07,9.996,
2010-10,11.777,
2011-01,12.001,
2011-04,10.327,
2011-07,9.762,
2011-10,10.947,
2012-01,12.194,
2012-04,9.268,
2012-07,9.636,
2012-10,10.335,
2013-01,10.701,
2013-04,8.214,
2013-07,7.803,
2013-10,8.547,
2014-01,8.379,
2014-04,7.651,
2014-07,8.061,
