"",BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:54,
1991-01,-4.688,
1991-04,-3.016,
1991-07,-6.709,
1991-10,-7.355,
1992-01,-40.946,
1992-04,-40.539,
1992-07,-40.539,
1992-10,-40.539,
1993-01,-269.726,
1993-04,-365.896,
1993-07,-267.585,
1993-10,-267.592,
1994-01,20.723,
1994-04,20.723,
1994-07,20.723,
1994-10,6.818,
1995-01,-34.732,
1995-04,-70.036,
1995-07,-34.732,
1995-10,-79.377,
1996-01,-28.651,
1996-04,-108.796,
1996-07,-28.651,
1996-10,-362.279,
1997-01,14.781,
1997-04,-17.867,
1997-07,15.339,
1997-10,15.325,
1998-01,-25.565,
1998-04,-66.468,
1998-07,-28.836,
1998-10,-25.590,
1999-01,-44.144,
1999-04,-15.715,
1999-07,-18.182,
1999-10,-18.000,
2000-01,-59.941,
2000-04,-62.695,
2000-07,-61.158,
2000-10,-59.836,
2001-01,-5.795,
2001-04,-19.347,
2001-07,-11.347,
2001-10,-12.712,
2002-01,-9.947,
2002-04,-155.579,
2002-07,-28.332,
2002-10,-15.924,
2003-01,-58.713,
2003-04,-144.751,
2003-07,-76.833,
2003-10,-98.108,
2004-01,136.995,
2004-04,137.673,
2004-07,149.490,
2004-10,128.007,
2005-01,335.649,
2005-04,270.066,
2005-07,346.614,
2005-10,284.945,
2006-01,320.066,
2006-04,243.886,
2006-07,386.760,
2006-10,443.572,
2007-01,2668.699,
2007-04,1942.252,
2007-07,1963.360,
2007-10,1139.022,
2008-01,548.636,
2008-04,-900.089,
2008-07,-668.666,
2008-10,-225.639,
2009-01,-23.655,
2009-04,-281.794,
2009-07,226.930,
2009-10,546.928,
2010-01,317.660,
2010-04,-1281.659,
2010-07,187.817,
2010-10,449.480,
2011-01,414.570,
2011-04,-995.903,
2011-07,375.815,
2011-10,381.590,
2012-01,520.641,
2012-04,-650.321,
2012-07,488.047,
2012-10,486.324,
2013-01,414.794,
2013-04,-1055.294,
2013-07,395.463,
2013-10,392.496,
2014-01,412.306,Provisional value
2014-04,-617.693,Provisional value
2014-07,405.076,Provisional value
2014-10,444.824,Provisional value
