"",BBK01.OEAD22G,BBK01.OEAD22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:34,
2002-01,1.183,
2002-04,0.594,
2002-07,0.575,
2002-10,0.569,
2003-01,0.233,
2003-04,0.153,
2003-07,0.157,
2003-10,0.153,
2004-01,0.149,
2004-04,0.181,
2004-07,0.179,
2004-10,0.167,
2005-01,0.153,
2005-04,0.154,
2005-07,0.162,
2005-10,0.120,
2006-01,0.118,
2006-04,0.102,
2006-07,0.105,
2006-10,0.111,
2007-01,0.122,
2007-04,0.138,
2007-07,0.131,
2007-10,0.131,
2008-01,0.145,
2008-04,0.149,
2008-07,0.173,
2008-10,0.148,
2009-01,0.278,
2009-04,0.275,
2009-07,0.312,
2009-10,0.331,
2010-01,0.325,
2010-04,0.363,
2010-07,0.323,
2010-10,0.332,
2011-01,0.313,
2011-04,0.338,
2011-07,0.330,
2011-10,0.359,
2012-01,0.400,
2012-04,0.459,
2012-07,0.513,
2012-10,0.381,
2013-01,0.347,
2013-04,0.306,
2013-07,0.334,
2013-10,0.336,
2014-01,0.319,
2014-04,0.233,
2014-07,0.206,
