"",BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:48,
1991-01,-743.757,
1991-04,-505.662,
1991-07,-92.181,
1991-10,-44.026,
1992-01,-79.799,
1992-04,-189.398,
1992-07,-235.716,
1992-10,-268.475,
1993-01,-66.685,
1993-04,-258.087,
1993-07,-132.007,
1993-10,-175.585,
1994-01,-38.993,
1994-04,73.711,
1994-07,-52.403,
1994-10,-94.114,
1995-01,-1.881,
1995-04,-25.227,
1995-07,-20.150,
1995-10,-41.448,
1996-01,-1.241,
1996-04,-52.587,
1996-07,-1.880,
1996-10,-1.781,
1997-01,-1.328,
1997-04,-2.976,
1997-07,-1.658,
1997-10,-2.220,
1998-01,-0.695,
1998-04,-1.065,
1998-07,-0.064,
1998-10,-2.378,
1999-01,-0.554,
1999-04,2.856,
1999-07,-0.214,
1999-10,-0.250,
2000-01,-0.375,
2000-04,-0.652,
2000-07,0.054,
2000-10,-36.248,
2001-01,-0.497,
2001-04,-0.507,
2001-07,-4.333,
2001-10,-3.965,
2002-01,-0.431,
2002-04,-,Nothing exists
2002-07,-0.030,
2002-10,-0.169,
2003-01,-0.221,
2003-04,-0.213,
2003-07,-0.015,
2003-10,0.556,
2004-01,-0.626,
2004-04,-0.021,
2004-07,-1.112,
2004-10,0.919,
2005-01,-0.820,
2005-04,0.105,
2005-07,-0.068,
2005-10,-4.974,
2006-01,-0.446,
2006-04,2.057,
2006-07,0.156,
2006-10,-1.783,
2007-01,-0.204,
2007-04,-1.263,
2007-07,0.235,
2007-10,-28.671,
2008-01,-1.939,
2008-04,0.061,
2008-07,-0.149,
2008-10,-1.701,
2009-01,-1.205,
2009-04,-0.249,
2009-07,0.182,
2009-10,-0.906,
2010-01,1.172,
2010-04,-0.231,
2010-07,71.887,
2010-10,171.857,
2011-01,4.962,
2011-04,-122.224,
2011-07,-0.007,
2011-10,-49.053,
2012-01,3.918,
2012-04,-0.329,
2012-07,0.677,
2012-10,1.973,
2013-01,427.998,
2013-04,201.592,
2013-07,-938.049,
2013-10,-406.490,
2014-01,-950.692,Provisional value
2014-04,6.175,Provisional value
2014-07,64.425,Provisional value
2014-10,107.502,Provisional value
