"",BBK01.OELI06K,BBK01.OELI06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:58,
2002-01,0.310,
2002-04,0.317,
2002-07,0.303,
2002-10,0.299,
2003-01,0.283,
2003-04,0.280,
2003-07,0.269,
2003-10,0.266,
2004-01,0.265,
2004-04,0.255,
2004-07,0.235,
2004-10,0.243,
2005-01,0.234,
2005-04,0.212,
2005-07,0.200,
2005-10,0.197,
2006-01,0.182,
2006-04,0.180,
2006-07,0.179,
2006-10,0.225,
2007-01,0.240,
2007-04,0.252,
2007-07,0.260,
2007-10,0.266,
2008-01,0.293,
2008-04,0.288,
2008-07,0.306,
2008-10,0.291,
2009-01,0.263,
2009-04,0.260,
2009-07,0.251,
2009-10,0.286,
2010-01,0.281,
2010-04,0.283,
2010-07,0.257,
2010-10,0.283,
2011-01,0.283,
2011-04,0.287,
2011-07,0.276,
2011-10,0.279,
2012-01,0.247,
2012-04,0.227,
2012-07,0.221,
2012-10,0.223,
2013-01,0.194,
2013-04,0.159,
2013-07,0.130,
2013-10,0.118,
2014-01,0.095,
2014-04,0.106,
2014-07,0.106,
