"",BBK01.OEHO03M,BBK01.OEHO03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:08,
2002-01,3.180,
2002-04,2.529,
2002-07,2.348,
2002-10,2.474,
2003-01,2.814,
2003-04,2.262,
2003-07,2.167,
2003-10,2.256,
2004-01,2.466,
2004-04,2.048,
2004-07,2.049,
2004-10,2.358,
2005-01,2.565,
2005-04,2.193,
2005-07,2.112,
2005-10,2.318,
2006-01,2.674,
2006-04,2.419,
2006-07,2.532,
2006-10,3.015,
2007-01,3.390,
2007-04,2.782,
2007-07,2.816,
2007-10,2.878,
2008-01,2.987,
2008-04,2.522,
2008-07,2.632,
2008-10,2.831,
2009-01,2.582,
2009-04,2.447,
2009-07,2.736,
2009-10,2.516,
2010-01,2.049,
2010-04,1.732,
2010-07,1.821,
2010-10,1.662,
2011-01,1.867,
2011-04,1.740,
2011-07,1.772,
2011-10,1.768,
2012-01,1.832,
2012-04,1.734,
2012-07,1.788,
2012-10,1.864,
2013-01,1.748,
2013-04,1.556,
2013-07,1.525,
2013-10,1.576,
2014-01,1.618,
2014-04,1.574,
2014-07,1.614,
