"",BBK01.OECB09V,BBK01.OECB09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:22,
2002-01,3.033,
2002-04,2.994,
2002-07,2.988,
2002-10,2.879,
2003-01,2.655,
2003-04,2.601,
2003-07,2.635,
2003-10,2.488,
2004-01,2.475,
2004-04,2.460,
2004-07,2.533,
2004-10,2.019,
2005-01,2.057,
2005-04,2.022,
2005-07,2.036,
2005-10,1.876,
2006-01,1.862,
2006-04,2.174,
2006-07,2.184,
2006-10,2.234,
2007-01,2.103,
2007-04,2.033,
2007-07,2.110,
2007-10,2.221,
2008-01,2.307,
2008-04,2.461,
2008-07,2.679,
2008-10,2.546,
2009-01,2.506,
2009-04,4.068,
2009-07,3.944,
2009-10,4.018,
2010-01,3.914,
2010-04,3.823,
2010-07,2.641,
2010-10,2.480,
2011-01,2.842,
2011-04,2.920,
2011-07,2.966,
2011-10,2.829,
2012-01,2.801,
2012-04,2.739,
2012-07,2.738,
2012-10,2.762,
2013-01,2.921,
2013-04,2.762,
2013-07,2.889,
2013-10,2.928,
2014-01,2.818,
2014-04,3.016,
2014-07,2.812,
